Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
25,"Chak 2 zèdtan","","Q2H
Q2H
Tous les 2 heures
Every two hours
Every 2 hours
Q2H
Chak 2 zèdtan","","","Frequency","N/A","Super User","Super User"
26,"Lòt","A generic, descriptive answer which is a handwritten, non-coded response to a question.","Lòt ki pa-kode
Lòt
Autre et non codé
Other non-coded
LÒT SAN-KÒD
Autre, non spécifiée
Autre
Nyinginezo
Other
Otro no codificado","","","Misc","N/A","Super User","Super User"
27,"Kat fwa nan yon jounen","","Four times per day
Four times a day
QID
Four times daily
QDS (four times a day)
FOUR PER DAY
4 PER DAY
QID
4 times per day
QID
Kat fwa nan yon jounen
Quatre fois par jour","","","Frequency","N/A","Super User","Super User"
28,"Senk fwa nan yon jounen","","Five times a day
FIVE TIMES PER DAY
5X/D
5 TIMES PER DAY
5X/D
Cinq fois par jour
FIVE PER DAY
5D
5D
5XD
Senk fwa nan yon jounen
5D","","","Frequency","N/A","Super User","Super User"
29,"Lè sa nesesè","","PRN
Lè sa nesesè
On an as needed basis
PRN
Si nécessaire
When required
PRN","","","Frequency","N/A","Super User","Super User"
30,"Yon fwa pa jou","","QD (once daily)
Une fois par jour
Once per day
1 time per day
ONE PER DAY
Once daily
OD
ONLY ONCE PER DAY
Daily
Yon fwa pa jou
OD
OD (once daily)
Once a day","","","Frequency","N/A","Super User","Super User"
31,"Nèf fwa nan yon jounen","","9D
Neuf fois par jour
Nine times a day
9D
Nèf fwa nan yon jounen
9D","","","Frequency","N/A","Super User","Super User"
32,"Uit fwa yon jou","","Eight times a day
Huit fois par jour
8D
Uit fwa yon jou
8D
8D","","","Frequency","N/A","Super User","Super User"
33,"Nan mitan lannwit","","ON
ON
At night
La nuit
ON
Nan mitan lannwit","","","Frequency","N/A","Super User","Super User"
34,"Chak 6 zèdtan","","Q6H
Tous les 6 heures
Every six hours
Q6H
Every 6 hours
Chak 6 zèdtan
Q6H","","","Frequency","N/A","Super User","Super User"
35,"De fwa nan yon jounen","","2 times per day
BID
De fwa nan yon jounen
BD
Twice a day
Deux fois par jour
BD
TWO PER DAY
BID
Twice daily
BD
Twice per day","","","Frequency","N/A","Super User","Super User"
36,"Imedyatman","","Immediately
Commencer immédiatement
Start immediately
STAT
STAT
STAT
Imedyatman
Immédiatement","","","Frequency","N/A","Super User","Super User"
37,"Nan maten an","","Nan maten an
OM
In the morning
QAM
Le matin
OM
OM
QAM","","","Frequency","N/A","Super User","Super User"
38,"Sis fwa nan yon jounen","","Sis fwa nan yon jounen
Six times a day
SIX TIMES PER DAY
6 PER DAY
6D
Six fois par jour
SIX PER DAY
Q4HRS
Q4HRS
6D
6D","","","Frequency","N/A","Super User","Super User"
39,"Frekans medikaman","","HUM Drug frequency
Medication frequency
Medication frequency for HUM
Frecuencia de toma de medicacion
Frekans medikaman
HUM fréquence de médecine","Nan mitan lannwit
Twice daily after meals
Once daily, in the evening
Every eight hours
Every seventy-two hours
Chak 4 èdtan
Yon fwa pa jou
Every five hours
Kat fwa nan yon jounen
Every thirty-six hours
Imedyatman
Thrice daily, after meals
Sis fwa nan yon jounen
Four times daily, before meals and at bedtime
Lòt
Twice daily with meals
Every 30 min
Once daily, at bedtime
Thrice daily, with meals
Chak 3 zèdtan
Every Monday, Wednesday and Friday
Senk fwa nan yon jounen
One time
Nan maten an
Twice daily before meals
De fwa nan yon jounen
Four times daily, after meals and at bedtime
Nèf fwa nan yon jounen
TDS
Once daily, in the morning
Every forty-eight hours
Every hour
Lè sa nesesè
Chak 6 zèdtan
Thrice daily, before meals
Every twenty-four hours
Chak 12 zèdtan
Sèt fwa nan yon jounen
Uit fwa yon jou
Chak 2 zèdtan","De fwa nan yon jounen
Twice daily before meals
Twice daily after meals
Twice daily with meals
Yon fwa pa jou
Once daily, at bedtime
Once daily, in the morning
Once daily, in the evening
TDS
Thrice daily, after meals
Thrice daily, with meals
Thrice daily, before meals
Kat fwa nan yon jounen
Four times daily, before meals and at bedtime
Four times daily, after meals and at bedtime
One time
Chak 2 zèdtan
Every 30 min
Every hour
Chak 3 zèdtan
Chak 4 èdtan
Every five hours
Chak 6 zèdtan
Chak 12 zèdtan
Every eight hours
Every twenty-four hours
Every thirty-six hours
Every forty-eight hours
Every seventy-two hours
Every Monday, Wednesday and Friday","Question","Coded","Super User","Super User"
40,"Dispensing Construct","","Dispensing Construct","","Demand pou medikaman
Kantite medikaman ki dispanse
Frekans medikaman
Fréquence générale de drogue, autre
Kantite medikasyon preskri pa dòz
Inite medikasyon preskri pa dòz
Durasyon medikaman
Inite dire
Instriksyon pou preskripsyon sa kod
Name of community health worker","ConvSet","N/A","Super User","Super User"
41,"Egzeyat","","Discharge
Egzeyat
Libération","","","Misc","N/A","Super User","Super User"
42,"Pasyan entène","","Inpatient hospitalization
INPATIENT CARE OR HOSPITALIZATION
Malade hospitalisé
Hospitalized
Entène lopital
Hospitalisé
Patient hospitalisé
Pasyan entène","","","Misc","N/A","Super User","Super User"
43,"Tan nan preskripsyon lopital","","Moment de ordonnance hospitalière
Status of patient at time of prescription
Tan nan preskripsyon lopital
Timing of hospital prescription","Egzeyat
Pasyan entène","","Question","Coded","Super User","Super User"
44,"Intranasal","","Nasal
Nasal administration
Nasal route of administration
Intranasal","","","Misc","N/A","Super User","Super User"
45,"Rectally","","Per rectum
Rectally
Rectal administration
PR","","","Misc","N/A","Super User","Super User"
46,"In right eye","","Right eye administration
OD
OD administration
In right eye","","","Misc","N/A","Super User","Super User"
47,"Inhalation","","Inhalation
Inhaled route of administration
Inhaled administration
Inhaled
Respiratory tract route","","","Misc","N/A","Super User","Super User"
48,"In left eye","","In left eye
Left eye administration
OS
OS administration","","","Misc","N/A","Super User","Super User"
49,"In both eyes","","Both eye administration
OU administration
In both eyes
Bilateral eye administration
OU","","","Misc","N/A","Super User","Super User"
50,"Transdermal","","Transdermal administration
Transdermal","","","Misc","N/A","Super User","Super User"
51,"In left ear","","In left ear
Left ear administration","","","Misc","N/A","Super User","Super User"
52,"Subcutaneous","","Subcutaneous
Subdermal
Subcutaneous route of administration
Subcutaneous administration
SubQ","","","Misc","N/A","Super User","Super User"
53,"Intramuscular","","IM
Intramuscular route of administration
Intramuscular administration
IM route of administration
Intramuscular","","","Misc","N/A","Super User","Super User"
54,"Intraveineuse","","Intravenous administration
Intravenous
Intraveineuse
Intravenous route of administration
IV","","","Misc","N/A","Super User","Super User"
55,"Vaginally","","PV
Vaginally
Vaginal administration
Per vagina","","","Misc","N/A","Super User","Super User"
56,"Intraosseous","","Intra-osseous route
Intraosseous route of administration
Intraosseous
Intraosseous administration","","","Misc","N/A","Super User","Super User"
57,"Oral","","PER ORAL
Oral
Oral administration
PO
Oral route of administration
By mouth
Oral","","","Misc","N/A","Super User","Super User"
58,"In both ears","","Both ear administration
Bilateral ear administration
In both ears","","","Misc","N/A","Super User","Super User"
59,"Per NG tube","","Nasogastric tube administration
NG tube administration
Per NG tube","","","Misc","N/A","Super User","Super User"
60,"In right ear","","Right ear administration
In right ear","","","Misc","N/A","Super User","Super User"
61,"Routes of administration","","Routes of administration","","Oral
Intraveineuse
Intramuscular
Subcutaneous
Inhalation
Intranasal
In left ear
In right ear
In both ears
In left eye
In right eye
In both eyes
Transdermal
Vaginally
Rectally
Per NG tube
Intraosseous","ConvSet","N/A","Super User","Super User"
62,"Puff","","Puff
Puff(s)","","","Units of Measure","N/A","Super User","Super User"
63,"Million units","","Million units
MU","","","Units of Measure","N/A","Super User","Super User"
64,"Nebulizer","","Nebulizer
Neb
Nebulizer(s)
Neb(s)","","","Units of Measure","N/A","Super User","Super User"
65,"Pad","","Pad(s)
Pad","","","Units of Measure","N/A","Super User","Super User"
66,"Syringe","","Syringe
Syringe(s)","","","Units of Measure","N/A","Super User","Super User"
67,"Kilogram","","kg
Kilogram(s)
Kilogram","","","Units of Measure","N/A","Super User","Super User"
68,"Bar","","Bar(s)
Bar","","","Units of Measure","N/A","Super User","Super User"
69,"Enema","","Enema
Enema(s)","","","Units of Measure","N/A","Super User","Super User"
70,"Gram","","Gram(s)
gm
Gram","","","Units of Measure","N/A","Super User","Super User"
71,"Tube","","Tube
Tube
Tube(s)","","","Units of Measure","N/A","Super User","Super User"
72,"Milliequivalent","","MEq
Milliequivalent
Milliequivalent(s)
MEqs","","","Units of Measure","N/A","Super User","Super User"
73,"Liter","","L
Liter","","","Units of Measure","N/A","Super User","Super User"
74,"Gellule","","Cap(s)
Cap
Gellule
Capsule","","","Misc","N/A","Super User","Super User"
75,"Milligram","","mg
Milligram","","","Units of Measure","N/A","Super User","Super User"
76,"Inch","","Inch
in
Inch(es)","","","Units of Measure","N/A","Super User","Super User"
77,"Gum","","Gum
Gum(s)","","","Units of Measure","N/A","Super User","Super User"
78,"Comprimé","","Comprimé
Tab
Tablet
Tablet(s)","","","Misc","N/A","Super User","Super User"
79,"Metric drop","","Metric drop(s)
Metric drop","","","Units of Measure","N/A","Super User","Super User"
80,"Spray","","Spray
Spray(s)","","","Units of Measure","N/A","Super User","Super User"
81,"Tablespoon","","Tablespoon
Tablespoon(s)
Tbsp","","","Units of Measure","N/A","Super User","Super User"
82,"Drop","","Drop(s)
Drop","","","Units of Measure","N/A","Super User","Super User"
83,"Microgram","","Microgram(s)
Microgram
mcg
ug","","","Units of Measure","N/A","Super User","Super User"
84,"Suppositoire","","Suppositoire
Supp
Suppository
Suppository(ies)","","","Units of Measure","N/A","Super User","Super User"
85,"Milliliter","","Milliliter
mL","","","Units of Measure","N/A","Super User","Super User"
86,"Fluid ounce","","Oz
Oz(s)
Fluid ounce(s)
Fluid ounce","","","Units of Measure","N/A","Super User","Super User"
87,"Ampule(s)","","Ampule(s)
Ampule
Amp","","","Units of Measure","N/A","Super User","Super User"
88,"Container","","Container
Container(s)","","","Units of Measure","N/A","Super User","Super User"
89,"Ring pessary","","Ring pessary
Ring pessary(ies)
Ring suppository
Ring suppository(ies)","","","Units of Measure","N/A","Super User","Super User"
90,"Vial","","Vial(s)
Vial","","","Units of Measure","N/A","Super User","Super User"
91,"Application","","Application
Application(s)
Application","","","Units of Measure","N/A","Super User","Super User"
92,"Patch","","Patch(es)
Patch","","","Units of Measure","N/A","Super User","Super User"
93,"Lozenge","","Troche(s)
Lozenge
Lozenge(s)
Troche","","","Units of Measure","Text","Super User","Super User"
94,"International units","","IU
International units","","","Misc","N/A","Super User","Super User"
95,"Biscuit wafer","","Biscuit wafer
Wafer
Wafer(s)","","","Units of Measure","N/A","Super User","Super User"
96,"Scoopful","","Scoop(s)
Scoop
Scoopful","","","Units of Measure","N/A","Super User","Super User"
97,"Pint","","Pint(s)
Pint","","","Units of Measure","N/A","Super User","Super User"
98,"Teaspoon","","Teaspoon(s)
Tsp
Teaspoon","","","Units of Measure","N/A","Super User","Super User"
99,"Unit","","Unit(s)
Unit
U","","","Units of Measure","N/A","Super User","Super User"
100,"Can","","Can
Can(s)","","","Units of Measure","N/A","Super User","Super User"
101,"Gallon","","gal
Gallon
Gallon(s)","","","Units of Measure","N/A","Super User","Super User"
102,"Unités par dose","","Dosing unit
Unités par dose
Dose unit","","Ampule(s)
Application
Bar
Can
Gellule
Container
Drop
Enema
Fluid ounce
Gallon
Gram
Gum
Inch
International units
Kilogram
Liter
Lozenge
Milliequivalent
Metric drop
Microgram
Milligram
Milliliter
Million units
Nebulizer
Pad
Patch
Pint
Puff
Ring pessary
Scoopful
Spray
Suppositoire
Syringe
Comprimé
Tablespoon
Teaspoon
Tube
Unit
Vial
Biscuit wafer
Sachet
Ponp
Milligram per square meter","ConvSet","N/A","Super User","Super User"
103,"Dose pack","","Dose pack(s)
Dose pack","","","Misc","N/A","Super User","Super User"
104,"SACHETS","","SACHETS
Packets","","","Misc","N/A","Super User","Super User"
105,"Inhalateur","","Inhaling
Inhaler
Inhalateur
Inhaler(s)","","","Misc","N/A","Super User","Super User"
106,"Each","","Each","","","Misc","N/A","Super User","Super User"
107,"Bag","","Bag
Bag(s)","","","Misc","N/A","Super User","Super User"
108,"Cartridge","","Cartridge(s)
Cartridge","","","Misc","N/A","Super User","Super User"
109,"Kit","","Kit(s)
Kit","","","Misc","N/A","Super User","Super User"
110,"Box","","Box
Box(es)","","","Misc","N/A","Super User","Super User"
111,"Dispensing units","","Dispensing units","","Bag
Box
Cartridge
Dose pack
Each
Inhalateur
Kit
SACHETS","ConvSet","N/A","Super User","Super User"
112,"Enkoni","réponse générique à la question","Enkoni
DO NOT KNOW
Ne sait pas
HAIJULIKANI
Unknown
DON'T KNOW
জানিনা
معلوم نہیں
Inconnu
Desconocida
Не известно
Desconocido
Ntabizi","","","Misc","N/A","Super User","Super User"
113,"Jeneral tèks","","Texte libre et générale
Freetext general
Free text general
Jeneral tèks","","","Question","Text","Super User","Super User"
114,"Anyen","Generic descriptive answer.","None
Ninguna
কোনটি না
Anyen
Okenn
ни один
Aucun
Hakuna","","","Misc","N/A","Super User","Super User"
115,"Sans objet","","Not applicable
Sans objet
Ne pas applicable
Pas valable","","","Misc","N/A","Super User","Super User"
116,"Infirmière","","Nurse
Infirmière","","","Misc","N/A","Super User","Super User"
117,"Médecin","","Doctor
Médecin
CLINICAL OFFICER/DOCTOR
Physician","","","Misc","N/A","Super User","Super User"
118,"Accompagnateur","","Village Health Worker
VHW (Village Health Worker)
CHO (Community Health Officer)
CHW (Community Health Worker)
Officier de Santé du Village
Accompagnateur
CHEW (Community Health Extension Worker)
Community Health Care Worker
CHN (Community Health Nurse)
CCHA (Community and Clinical Health Assistant)","","","Misc","N/A","Super User","Super User"
119,"Lakay","","Domicile
Home
Lakay
Sortie par la maison","","","Misc","N/A","Super User","Super User"
120,"Hôpital","","Hôpital
Hospital","","","Misc","N/A","Super User","Super User"
121,"Extra institutionnel","","Extra institutionnel
Outside of institution
Not in the hospital","","","Misc","N/A","Super User","Super User"
122,"Manm nan fanmi an","","Manm nan fanmi an
Family member
Membre de la famille
PERSON RELATED TO PATIENT
FAMILY REPRESENTATIVE","","","Misc","N/A","Super User","Super User"
123,"Police","","Police
Police","","","Misc","N/A","Super User","Super User"
124,"Chirurgie","","Chirurgie
Surgery","","","Misc","N/A","Super User","Super User"
125,"Père","","Father
Père","","","Misc","N/A","Super User","Super User"
126,"Mère","","Mother
Mère","","","Misc","N/A","Super User","Super User"
127,"Autre parent","","Autre parent
Other relative","","","Misc","N/A","Super User","Super User"
128,"Soeur/Frère","","Sibling
Soeur/Frère","","","Misc","N/A","Super User","Super User"
129,"Partenaire ou époux","","Partenaire ou époux
Partner or Spouse","","","Misc","N/A","Super User","Super User"
130,"Relation de tuteur à l'enfant","","GUARDIAN RELATION
Guardian relationship to child
Relation de tuteur à l'enfant","","","Question","Text","Super User","Super User"
131,"Frère","","Brother
Frère","","","Misc","N/A","Super User","Super User"
132,"Soeur","","Sister
Soeur","","","Misc","N/A","Super User","Super User"
133,"Title of who completed form","","Title of who completed form
Form completed by","Infirmière
Accompagnateur
Médecin
Lòt","","Question","Coded","Super User","Super User"
134,"Title of who completed form detail","","Title of who completed form detail","","Title of who completed form
Jeneral tèks","ConvSet","N/A","Super User","Super User"
135,"ID Card Printing Requested","","ID Card Printing Requested","Non
Wi","","Question","Coded","Super User","Super User"
136,"ID Card Printing Successful","","ID Card Printing Successful","Non
Wi","","Question","Coded","Super User","Super User"
137,"Anamnèse","Complaintes actuelles","Presenting history
Anamnèse","","","Question","Text","Super User","Super User"
138,"Past medical history finding","","Past medical history finding","","","Diagnosis","Coded","Super User","Super User"
139,"Sign/symptom present","","Sign/symptom present","Non
Enkoni
Wi","","Diagnosis","Coded","Super User","Super User"
140,"Past medical history added (text)","","Past medical history added (text)","","","Question","Text","Super User","Super User"
141,"Past medical history","","Past medical history
PMH","","Past medical history finding
Sign/symptom present
Date de diagnostic
Past medical history added (text)","ConvSet","N/A","Super User","Super User"
142,"Family history diagnosis","","Family history diagnosis","","","Misc","Coded","Super User","Super User"
143,"Relation du rapport au patient","","Relation du rapport au patient
Relationship of relative to patient
CONTACT_REL","Partenaire ou époux
Père
Mère
Autre parent
Soeur
Relation de tuteur à l'enfant
Soeur/Frère
Frère","","Question","Coded","Super User","Super User"
144,"Family history comment","","Family history comment","","","Question","Text","Super User","Super User"
145,"Patient's family history list","","Patient's family history list
Family history list","","Family history diagnosis
Relation du rapport au patient
Sign/symptom present
Family history comment
Date de diagnostic
Dat nesans manm fanmi an
Nan tretman oswa anba swen pou pwoblèm
Dat yo komanse tretman","ConvSet","N/A","Super User","Super User"
146,"Clinical management plan comment","","Clinical management plan comment","","","Question","Text","Super User","Super User"
147,"fe bagay","","ACTIF SEXUELLEMENT
SEXUELLEMENT ACTIF
Sexual activity
Sexually active
fe bagay","Wi
Non
Non
Enkoni
Wi","","Question","Coded","Super User","Super User"
148,"Dispositif intra-utérin","","IUD
IUCD
Intrauterine device
Dispositif intra-utérin","","","Misc","N/A","Super User","Super User"
149,"Implant contraceptif sous-cutané","","Levonorgestrel
Microlut
Plan B
Norplant system
Norplant
Implant contraceptif sous-cutané","","","Drug","N/A","Super User","Super User"
150,"Ligature des trompes","","Interruption de la perméabilité des trompes utérines
Bilateral tubal ligation
BTL
Ligature des trompes
Tubal ligation
Ligature
Ligation of fallopian tube
Interruption de la perméabilité des trompes utérines
Ligature des trompes","","","Procedure","N/A","Super User","Super User"
151,"Vasectomie","","Vasectomie
Vasectomie
Vasectomy","","","Procedure","N/A","Super User","Super User"
152,"Acétate de médroxyprogestérone","","Medroxyprogesterone acetate
Depoprovera
Depo-provera
Acétate de médroxyprogestérone","","","Drug","N/A","Super User","Super User"
153,"Kontraseptif enjeksyon","","Injectable hormones
Kontraseptif enjeksyon
Piki planin
Contraceptifs injectables
Injectable contraceptives","","Acétate de médroxyprogestérone","MedSet","N/A","Super User","Super User"
154,"Diaphragme","","Cervical cap
Diaphragme
Diaphragm","","","Misc","N/A","Super User","Super User"
155,"Stérilisation féminine","","Female sterilization
Stérilisation féminine
Stérilisation féminine","","","Procedure","N/A","Super User","Super User"
156,"Preservatifs","","Condoms
Preservatifs","","","Drug","N/A","Super User","Super User"
157,"Grenn planin","","Birth control pills
Oral contraception
Contraception orale
Grenn planin","","","MedSet","N/A","Super User","Super User"
158,"Planification familiale naturelle","","Rhythm method
Natural family planning
Planification familiale naturelle","","","Misc","N/A","Super User","Super User"
159,"Abstinence","","Abstinence
Abstinence sexuelle
Celibate
Abstinence
Not sexually active
Sexual abstinence","","","Misc","N/A","Super User","Super User"
160,"Stérilizasyon","","Stérilizasyon
Sterilization
Stérilisation","","","Procedure","N/A","Super User","Super User"
161,"Hystérectomie","","Hysterectomy
Hystérectomie
Hystérectomie","","","Procedure","N/A","Super User","Super User"
162,"Méthode de planification familiale","","Méthode de planification familiale
Method of birth control
Method of family planning","Grenn planin
Kontraseptif enjeksyon
Ligature des trompes
Preservatifs
Abstinence
Diaphragme
Vasectomie
Acétate de médroxyprogestérone
Implant contraceptif sous-cutané
Anyen
Sans objet
Stérilisation féminine
Planification familiale naturelle
Dispositif intra-utérin
Hystérectomie
Stérilizasyon
Lòt","","Question","Coded","Super User","Super User"
163,"Autre méthode de planification familiale (texte)","","Other family planning method, non-coded
Autre méthode de planification familiale (texte)","","","Question","Text","Super User","Super User"
164,"Hospitalization comment","","Hospitalization comment","","","Question","Text","Super User","Super User"
165,"Location of death at institution","","Location of death at institution","","","Question","Text","Super User","Super User"
166,"Location of death, non-coded","","Location of death, non-coded","","","Question","Text","Super User","Super User"
167,"Condition contributing to the death but not related to the disease or morbid condition, non-coded","","Condition contributing to the death but not related to the disease or morbid condition, non-coded
Condition contributing to the death, non-coded","","","Question","Text","Super User","Super User"
168,"Lieu du décès","","Location of death
Lieu du décès","Lakay
Extra institutionnel
Hôpital
Lòt","","Finding","Coded","Super User","Super User"
169,"Maladie ou ayant directement provoqué le décès","","Maladie ou ayant directement provoqué le décès
Final disease resulting in death
Final disease or condition resulting in death","","","Diagnosis","Coded","Super User","Super User"
170,"Maternal death","","Maternal death","Non
Wi","","Question","Coded","Super User","Super User"
171,"NUMÉRO D'ORDRE DES DIAGNOSTICS","","DIAGNOSIS SEQUENCE NUMBER
NUMÉRO D'ORDRE DES DIAGNOSTICS","","","Misc","Numeric","Super User","Super User"
172,"CAUSE DU DÉCÈS SUR CERTIFICAT DE DÉCÈS","","CAUSE OF DEATH FROM DEATH CERTIFICATE
CAUSE DU DÉCÈS SUR CERTIFICAT DE DÉCÈS","","","Question","Coded","Super User","Super User"
173,"Probable cause of death (text)","","Probable cause of death (text)","","","Question","Text","Super User","Super User"
174,"CAUSES DU DÉCÈS SUR CERTIFICAT DE DÉCÈS","","CAUSES OF DEATH FROM DEATH CERTIFICATE
CAUSES DU DÉCÈS SUR CERTIFICAT DE DÉCÈS","","NUMÉRO D'ORDRE DES DIAGNOSTICS
CAUSE DU DÉCÈS SUR CERTIFICAT DE DÉCÈS
Probable cause of death (text)","ConvSet","N/A","Super User","Super User"
175,"Visité un personnel de santé au cours de maladie","","Visité un personnel de santé au cours de maladie
Visited provider during illness","Wi
Non","","Question","Coded","Super User","Super User"
176,"Pompe funèbres","","Funeral home staff
Undertaker
Funeral director
Pompe funèbres
Mortician","","","Misc","N/A","Super User","Super User"
177,"Source d'information","","Source of information
Source d'information","Manm nan fanmi an
Pompe funèbres
Police
Lòt","","Question","Coded","Super User","Super User"
178,"Permit d'inhumer","","Permit d'inhumer
Burial certificate
Burial permit
Burial certificate number","","","Question","Text","Super User","Super User"
179,"Condition contributing to the death","","Condition contributing to the death
Condition contributing to the death but not related to the disease or morbid condition","","","Diagnosis","Coded","Super User","Super User"
180,"Autopsie","","Autopsie
Post-mortem examination
Autopsy
Autopsia cadaverum
Obduction","","","Misc","N/A","Super User","Super User"
181,"Moyen de confirmation du diagnostic","","Moyen de confirmation du diagnostic
Method of confirming death","Autopsie
Chirurgie","","Question","Coded","Super User","Super User"
182,"Circonstances du décès","","Circumstances of death
Circonstances du décès
Description of death by non-clinician","","","Question","Text","Super User","Super User"
183,"Cause sous-jacente de la mort","","Cause sous-jacente de la mort
Underlying cause of death","","","Question","Coded","Super User","Super User"
184,"Affectations morbides ayant éventuellement conduit a l'état préciser l'affectation initiale étant indiquée en dernier lieu","","Affectations morbides ayant éventuellement conduit a l'état préciser l'affectation initiale étant indiquée en dernier lieu
Condition causing the final disease
Condition which caused the final disease or condition
Conditions qui causent des maladies finale","","","Diagnosis","Coded","Super User","Super User"
185,"Duration of hospitalization during which patient died, in days","","Duration of hospitalization during which patient died, in days","","","Question","Numeric","Super User","Super User"
186,"Country concept","","Country concept","","","Question","Text","Super User","Super User"
187,"State Province concept","","State Province concept","","","Question","Text","Super User","Super User"
188,"City Village concept","","City Village concept","","","Question","Text","Super User","Super User"
189,"Address3 concept","","Address3 concept","","","Question","Text","Super User","Super User"
190,"Address2 concept","","Address2 concept","","","Question","Text","Super User","Super User"
191,"Address1 concept","","Address1 concept","","","Question","Text","Super User","Super User"
192,"Kote li fèt","","Kote li fèt
Place of birth
Lieu de naissance
Birthplace","","","Question","Text","Super User","Super User"
193,"Birthplace address construct","","Birthplace address construct","","Address1 concept
Address2 concept
Address3 concept
City Village concept
State Province concept
Country concept","ConvSet","N/A","Super User","Super User"
194,"Activité principale, non codée","","Activité principale, non codée
Occupation, non-coded
Main activity, non-coded
Principal activity, non-coded","","","Question","Text","Super User","Super User"
195,"Urbaine","","Urbaine
Urban","","","Misc","N/A","Super User","Super User"
196,"Rural","","Rural
Rural","","","Misc","N/A","Super User","Super User"
197,"Residential environment","","Residential environment
Classification of residential environment","Rural
Urbaine","","Question","Coded","Super User","Super User"
198,"Célibataire","","Célibataire
Celibate","","","Misc","N/A","Super User","Super User"
199,"Divòse","","Divorced
Divòse
Divorcé(e)","","","Misc","N/A","Super User","Super User"
200,"Selibatè oubyen timoun","","Single/Child
Célibataire ou un enfant
Single or a child
Selibatè oubyen timoun","","","Misc","N/A","Super User","Super User"
