Code, Local Name, Route and Dose, English Concept Name,Synonym
010.000.4134.01,HIDROQUINONA CREMA 4 G/ 100 G,ENVASE CON 15 Ó 30 G.,Hydroquinone,
010.000.5621.00,"LINAGLIPTINA DE 5 MG, TABLETA, ENVASE CON 30 TABLETAS.",ENVASE CON 30 TABLETAS.,Linagliptin,
010.000.5742.00,"LINAGLIPTINA,  CLORHIDRATO  DE   METFORMINA  DE   2.5   MG   /   1000   MG, TABLETA, ENVASE CON 60 TABLETAS",ENVASECON60TABLET AS,Linagliptin,
010.000.4152.01,"SITAGLIPTINA  MONOHIDRATADA,  FOSFATO   DE  DE  100  MG,  COMPRIMIDO, ENVASE CON 28 COMPRIMIDOS.",ENVASE CON 28 COMPRIMIDOS.,Sitagliptin,Sitagliptin  phosphate monohydrate
010.000.5703.00,"SITAGLIPTINA MONOHIDRATADA, FOSFATO  DE,  METFORMINA, CLOHIDRATO DE DE 50 MG / 850 MG, COMPRIMIDO, ENVASE CON 28 COMPRIMIDOS.",ENVASE CON 28 COMPRIMIDOS.,Sitagliptin / Metformin,
010.000.2471.00,CLORFENAMINA COMPUESTA  TABLETA CADA TABLETA CONTIENE PARACETAMOL 500 MG CAFEÍNA 25 MG CLORHIDRATO DE FENILEFRINA  5 MG MALEATO DE CLORFENAMINA 4 MG.,ENVASE CON 10 TABLETAS.,Chlorpheniramine maleate / Phenylephrine hydrochloride / Paracetamol / Caffeine,
010.000.2150.00,PLANTAGO  OVATA/SENOSIDOS A Y B GRANULADO  54.2 G/300 MG/100 G,ENVASE CON 100 GRAMOS,Plantago ovata / Sennosides A and B,
010.000.1363.00,"LIDOCAÍNA,  ACETATO  DE  HIDROCORTISONA, SUBACETATO DE  ALUMINIO  Y OXIDO DE ZINC DE 5 G/0.25 G/3.50 G/18 G/100 G, UNGÜENTO,  ENVASE CON 20 G Y APLICADOR.",ENVASE CON 20 G Y APLICADOR,Lidocaine / hydrocortisone acetate / aluminium subacetate / zinc oxide,
010.000.1364.00,"LIDOCAÍNA,  ACETATO  DE  HIDROCORTISONA, SUBACETATO DE  ALUMINIO  Y OXIDO DE ZINC DE 60 MG/5 MG/400 MG/50 MG, SUPOSITORIO, ENVASE CON 6 SUPOSITORIOS.",6 SUPOSITORIOS,Lidocaine / hydrocortisone acetate / aluminium subacetate / zinc oxide,
010.000.3515.00,"NORETISTERONA, ENANTATO  DE Y VALERATO  DE ESTRADIOL  DE 50 MG/  5 MG/ML,  SOLUCIÓN  INYECTABLE,  ENVASE  CON  UNA AMPOLLETA  O JERINGA CON UN ML.",AMPOLLETA  O JERINGA,Estradiol valerate / norethisterone enantate,
010.000.5801.00,"IRBESARTÁN,    AMLODIPINO,   BESILATO   DE   DE  150   MG  /  5MG,   TABLETA, ENVASE CON 28 TABLETAS.",ENVASE CON 28 TABLETAS.,Irbesartan / Amlodipine,
010.000.5802.00,"IRBESARTÁN,   AMLODIPINO,   BESILATO   DE  DE  300  MG  /  5  MG,  TABLETA, ENVASE CON 28 TABLETAS",ENVASE CON 28 TABLETAS,Irbesartan / Amlodipine,
010.000.3623.00,"ELECTROLITOS ORALES   DE (GLUCOSA  ANHIDRA  20 G, POTASIO,  CLORURO DE, 1.5 G, SODIO, CLORURO  DE, 3.5 G, CITRATO TRISÓDICO  DIHIDRATADO 2.9 G, POLVO PARA SOLUCIÓN,  ENVASE CON 27.9 G.",ENVASE CON 27.9 G,Glucose / Potassium chloride / Sodium chloride / Trisodium citrate,
010.000.3622.00,"ELECTROLITOS ORALES  DE GLUCOSA  ANHIDRA  13.5 G, POTASIO  CLORURO DE, 1.5 G, SODIO CLORURO  DE, 2.6, CITRATO TRISÓDICO  DIHIDRATADO 2.9 G, POLVO, ENVASE CON 20.5 G.",ENVASE CON 20.5 G,Glucose / Potassium chloride / Sodium chloride / Trisodium citrate,
030.000.0003.00,"SUCEDÁNEO   DE  LECHE   HUMANA   DE  PRETÉRMINO   DE  KCAL  80-90/100G, LÍPIDOS  4.8-6/100G,   PROTEÍNAS   2.25-3/100G,   HIDRATO  DE  CARBONO   10.5- 12/100G, POLVO, ENVASE DE LATA CON 400 A 454 G Y MEDIDA DE 4.40 A 4.50 G.",ENVASE DE LATA CON 400 A 454 G Y MEDIDA DE 4.40 A 4.50G,Preterm infant formula,
030.000.0012.00,"SUCEDÁNEO  DE LECHE  HUMANA  DE TÉRMINO  SIN  LACTOSA  DE KCAL  502- 522/100G, LÍPIDOS 25.0-28.0/100G, PROTEÍNAS 11.0-14.0/100G, HIDRATO DE CARBONO   54.9-55.6/100G,  POLVO,  ENVASE  DE  LATA  CON  400  A  454  G  Y MEDIDA DE 4.3 A 4.5 G.",ENVASE CON 375 A 400 G,Lactose-free infant formula,
020.000.3842.00,"SUERO   ANTIALACRÁN  (ANTICUERPOS  DE   CABALLO)   DE   CADA   FRASCO ÁMPULA CON LIOFILIZADO  CONTIENE: ANTICUERPOS DE CABALLO CONCENTRADOS Y MODIFICADOS POR DIGESTIÓN  ENZIMÁTICA,  PARA NEUTRALIZAR 150 DL(50) DE VENENO DE ALACRÁN DEL GÉNERO CENTRUROIDES., SOLUCIÓN INYECTABLE,  ENVASE CON UN FRASCO ÁMPULA Y DILUYENTE  CON 5 ML (UNA DOSIS).",FRASCO ÁMPULA Y DILUYENTE  CON 5 ML,Scorpion antivenin,
020.000.3843.00,"SUERO   ANTIVIPERINO  (ANTICUERPOS  DE   CABALLO)   DE   CADA   FRASCO ÁMPULA CON LIOFILIZADO  CONTIENE: ANTICUERPOS DE CABALLO CONCENTRADOS Y MODIFICADOS POR DIGESTIÓN  ENZIMÁTICA  QUE NEUTRALIZAN NO MENOS DE 790 DL(50) DE VENENO DE CROTALUS BASSILISCUS  Y NO MENOS DE 780 DL(50) DE VENENO  DE BOTHROPS  ASPER BOTHROPS   ASPER,   SOLUCIÓN   INYECTABLE,    ENVASE   CON   UN   FRASCO ÁMPULA Y DILUYENTE  CON 10 ML.",FRASCO ÁMPULA Y DILUYENTE  CON 10 ML,Viper antivenin,
