,Unnamed: 0,name_es,name_clean,old_name_matches_clean,old_name_matches_score,concept,english
74,,ENALAPRIL 10MG 30 TABLETAS,enalapril,enalapril,100.0,CIEL:75634,
75,,ERITROMICINA SUSPENCION 250MG/5ML 100ML,eritromicina suspencion,eritromicina,90.0,CIEL:75842,
76,,ESTROGENOS CONJUGADOS 0.625MG - 21 TABLETAS **ESPECIAL**,estrogenos conjugados,estrogenos,90.0,CIEL:75928,
77,,ESTROGENOS CONJUGADOS CREMA **ESPECIAL**,estrogenos conjugados crema,estrogenos,90.0,CIEL:75928,
78,,FENTANIL INYECTABLE - 1 AMPOLLA **ESPECIAL**,fentanil inyectable,,,CIEL:76272,fentanyl
79,,FUMARATO FERROSO 200MG - 50 TABLETAS,fumarato ferroso,fumerato ferroso,94.0,CIEL:76335,
80,,FINASTERIDA 5MG 30 TABLETAS,finasterida,finasterida,100.0,CIEL:76376,
81,,FLUOXETINA 20MG - 28 TABLETAS,fluoxetina,fluoxetina,100.0,CIEL:76553,
82,,FLUTICASONA 50MCG - 120 DOSIS,fluticasona,fluticasona,100.0,CIEL:76586,
83,,ACIDO FOLICO 0.4MCG - 90 TABLETAS,acido folico,ácido fólico,91.0,CIEL:76613,
84,,ACIDO FOLICO 5MG - 20 TABLETAS,acido folico,ácido fólico,91.0,CIEL:76613,
85,,GABAPENTINA 300 MG - 15 CAPSULAS,gabapentina,gabapentina,100.0,CIEL:76750,
86,,GABAPENTINA 400 MG - 15 CAPSULAS,gabapentina,gabapentina,100.0,CIEL:76750,
87,,GYNKO BILOBA TABLETAS **ESPECIAL**,gynko biloba tabletas,,,CIEL:77009,ginkgo biloba
88,,GLIPIZIDA 10MG - 20 TABLETAS,glipizida,glipizida,100.0,CIEL:77032,
89,,HIDRALAZINA INYECTABLE 20MG/ML - 5 AMPOLLAS,hidralazina inyectable,,,CIEL:77676,Hydralazine
90,,HIDROCORTISONA/LIDOCAINA (SUPOSITORIOS O PASTA),hidrocortisona lidocaina (supositorios o pasta),,,CIEL:777,hydrocortisone and lidocaine
91,,HIDROXICLOROQUINA 200MG TABLETAS **ESPECIAL**,hidroxicloroquina,hidroxicloroquina,100.0,CIEL:77784,
92,,HIDROXIZINA 10MG TABLETAS,hidroxizina,hidroxizina,100.0,CIEL:77796,
93,,INSULINA GLARGINA - 1 PLUMA,insulina glargina,insulina glargina,100.0,CIEL:78064,
94,,INSULINA MIXTA - 1 PLUMA,insulina mixta,insulina glargina,71.0,CIEL:78064,
95,,INSULINA RAPIDA (lispro o aspart) - 1 PLUMA,insulina rapida (lispro o aspart),insulina glargina,86.0,CIEL:78064,
96,,INSULNA GLARGINA - 1 RECARGA,insulna glargina,insulina glargina,97.0,CIEL:78064,
97,,IPRATROPIO AEROSOL 20MCG - 200 DOSIS,ipratropio aerosol,ipratropio,90.0,CIEL:78200,
98,,SALBUTAMOL/BROMURO DE IPRATROPIO SOLUCION PARA NEBULIZAR,salbutamol bromuro de ipratropio solucion para nebulizar,ipratropio,90.0,CIEL:78200,
99,,Complejo B (Sin HIERRO),complejo b (sin hierro),,,CIEL:78230,plan B (without iron)
100,,ITRACONAZOL 100MG 15 CAPSULAS,itraconazol,itraconazol,100.0,CIEL:78338,
101,,IVERMECTINA 6MG 2 TABLETAS,ivermectina,ivermectina,100.0,CIEL:78342,
102,,KETOROLACO 30MG - 6 TABLETAS SUBLINGUAL,ketorolaco,ketorolaco   trometamina,90.0,CIEL:78482,
103,,KETOROLACO INYECTABLE 30MG/ML - 3 AMPOLLAS,ketorolaco inyectable,,,CIEL:78482,
104,,LACTULOSA 10G/15ML - 125ML,lactulosa,lactulosa,100.0,CIEL:78632,
105,,LAMOTRIGINA 100MG - 28 TABLETAS,lamotrigina,lamotrigina,100.0,CIEL:78644,
106,,"LATANOPROST SOLUCION 0.05MG/ML 2,5ML",latanoprost solucion,latanoprost,90.0,CIEL:78677,
107,,LEVETIRACETAM SUSPENCION [Keppra] **ESPECIAL**,levetiracetam suspencion [keppra],levetiracetam,90.0,CIEL:78770,
108,,LEVETIRACETAM TABLETAS 500MG **ESPECIAL**,levetiracetam tabletas,levetiracetam,90.0,CIEL:78770,
109,,LEVOFLOXACINO 500MG - 7 TABLETAS,levofloxacino,levofloxacino,100.0,CIEL:78788,
110,,LEVOTIROXINA TABLETAS 100MCG - 100 TABLETAS **ESPECIAL**,levotiroxina tabletas,levotiroxina sódica,76.0,CIEL:78809,
111,,LEVOTIROXINA TABLETAS 125MCG - 100 TABLETAS **ESPECIAL**,levotiroxina tabletas,levotiroxina sódica,76.0,CIEL:78809,
112,,LOPERAMIDA - Tableta,loperamida,loperamida,100.0,CIEL:79038,
113,,LORATADINA 10MG - 10 TABLETAS,loratadina,loratadina,100.0,CIEL:79053,
114,,Loratadina Sol. Pediátrica,loratadina sol. pediátrica,loratadina,90.0,CIEL:79053,
115,,LORAZEPAM 1MG - 40 TABLETAS,lorazepam,,,CIEL:79054,lorazepam
116,,LOSARTAN 100MG - 15 TABLETAS,losartan,losartán,93.0,CIEL:79074,
117,,SULFATO DE MAGNESIO INYECTABLE 10% - 1 AMPOLLA **ESPECIAL**,sulfato de magnesio inyectable,,,CIEL:79247,magnesium sulfate
118,,VALPROATO DE MAGNESIO 200MG - 40 TABLETAS,valproato de magnesio,valproato de magnesio,100.0,CIEL:79251,
119,,VALPROATO DE MAGNESIO SUSPENSION 200MG/ML,valproato de magnesio suspension,valproato de magnesio,90.0,CIEL:79251,
120,,MESALAZINA 500MG TABLETAS **ESPECIAL**,mesalazina,,,CIEL:79616,mesalazine
121,,MESALAZINA SUPOSITORIOS 250MG **ESPECIAL**,mesalazina supositorios,,,CIEL:79616,mesalazine
122,,MESALAZINA SUPOSITORIOS 500MG **ESPECIAL**,mesalazina supositorios,,,CIEL:79616,mesalazine
123,,METFORMINA 850MG - 30 TABLETAS,metformina,metformina,100.0,CIEL:79652,
124,,TIAMAZOL 5MG - 20 TABLETAS **ESPECIAL**,tiamazol,tiamazol,100.0,CIEL:79691,
125,,METOTREXATO 2.5MG - 50 TABLETAS **ESPECIAL**,metotrexato,metotrexato,100.0,CIEL:79700,
126,,METILFENIDATO 10MG 30 TABLETAS,metilfenidato,,,CIEL:79739,methylphenidate
127,,METILPREDNISOLONA INYECTABLE 500MG **ESPECIAL**,metilprednisolona inyectable,metilprednisona,78.0,CIEL:79743,
128,,METOCLOPRAMIDA - Tableta,metoclopramida,metoclopramida,100.0,CIEL:79757,
129,,METOCLOPRAMIDA INYECTABLE 10MG/2ML - 2ML,metoclopramida inyectable,metoclopramida,90.0,CIEL:79757,
130,,METOCLOPRAMIDA SUSPENCION 400MG - 20 ML,metoclopramida suspencion,metoclopramida,90.0,CIEL:79757,
131,,METOPROLOL 100 MG - 50 TABLETAS,metoprolol,metoprolol,100.0,CIEL:79767,
132,,MISOPROSTOL 200 MCG - 28 TABLETAS,misoprostol,misoprostol,100.0,CIEL:79984,
133,,Mometasona intranasal,mometasona intranasal,,,CIEL:80049,mometasone
134,,MONTELUKAST 10MG - 20 TABLETAS,montelukast,montelukast,100.0,CIEL:80092,
135,,MONTELUKAST 4MG - TABLETAS MASTICABLES,montelukast,montelukast,100.0,CIEL:80092,
136,,MORFINA 30MG - 100 PASTILLAS **ESPECIAL**,morfina,,,CIEL:80107,morphine
137,,MUPIROCINA CREMA 2%,mupirocina crema,,,CIEL:80194,mupirocin
138,,ACIDO MICOFENOLICO 500 MG - TABLETAS **ESPECIAL**,acido micofenolico,,,CIEL:80236,mycophenolic acid
139,,NALTREXONE 50MG - 30 TABLETAS,naltrexone,naltrexona,90.0,CIEL:80375,
140,,NEBIVOLOL 5MG TABLETAS **ESPECIAL**,nebivolol,,,CIEL:80470,nebivolol
141,,NEOMICINA/LIDOCAÍNA OTICA - 20 ml,neomicina lidocaína otica,,,CIEL:80514,neomycin
142,,NIMESULIDA JARABE **ESPECIAL**,nimesulida jarabe,,,CIEL:80665,Nimesulide
143,,NIMESULIDA TABLETAS,nimesulida tabletas,,,CIEL:80665,Nimesulide
144,,NITAZOXANIDA 500MG - 2 TABLETAS,nitazoxanida,nitazoxanida,100.0,CIEL:80675,
145,,NITAZOXANIDA SUSPENCION 100MG/5ML - 30ML,nitazoxanida suspencion,nitazoxanida,90.0,CIEL:80675,
146,,NITAZOXANIDA SUSPENCION 100MG/5ML - 60ML,nitazoxanida suspencion,nitazoxanida,90.0,CIEL:80675,
147,,NITROFURANTOINA 100MG - 40 CAPSULAS,nitrofurantoina,nitrofurantoína,97.0,CIEL:80696,
148,,NITROGLICERINA 5MG TABLETAS SUBLINGUAS **ESPECIAL**,nitroglicerina,,,CIEL:80704,nitroglycerin
149,,"CLORURO DE SODIO INYECTABLE 1,7G/10ML",cloruro de sodio inyectable,,,CIEL:80804,sodium chloride
150,,OLANZAPINA 10MG - 14 TABLETAS,olanzapina,olanzapina,100.0,CIEL:81025,
151,,OLOPATADINA OFTALMICA **ESPECIAL**,olopatadina oftalmica,,,CIEL:81031,olopatadine
152,,OXCARBAZEPINA 600MG - 20 TABLETAS **ESPECIAL**,oxcarbazepina,oxcarbazepina,100.0,CIEL:81294,
153,,OXITOCINA INYECTABLE - 1 AMPOLLA,oxitocina inyectable,oxitocina,90.0,CIEL:81369,
154,,PAROXETINA 20MG - 20 TABLETAS **ESPECIAL**,paroxetina,paroxetina,100.0,CIEL:81604,
155,,PERINDOPRIL 4MG - 14 TABLETAS **ESPECIAL**,perindopril,,,CIEL:81822,perindopril
156,,PERMETRINA SHAMPOO 1 % (SHAMPOO PARA PIOJOS),permetrina shampoo,permetrina,90.0,CIEL:81834,
157,,VASELINA - 60G,vaselina,vaselina,100.0,CIEL:81861,
158,,FENAZOPIRIDINA 100MG 20 TABLETAS,fenazopiridina,,,CIEL:81909,Phenazopyridine
159,,"FITOMENADIONA INYECTABLE 2MG/0,2ML",fitomenadiona inyectable,,,CIEL:81943,phytomenadione
160,,FENITOINA 100MG 50 TABLETAS,fenitoina,fenitoína sódica,80.0,CIEL:82024,
161,,FENITOINA SUSPENCION 0.750G/100ML 150 ML,fenitoina suspencion,,,CIEL:82024,
162,,ALCOHOL POLIVINILICO OFTALMICO - 10ML,alcohol polivinilico oftalmico,alcohol polivinil,90.0,CIEL:82315,
163,,PRAVASTATINA - Tableta,pravastatina,pravastatina,100.0,CIEL:82411,
164,,PREDNISONA 50MG 20 TABLETAS,prednisona,prednisona,100.0,CIEL:82453,
165,,PREDNISONA 5MG 20 TABLETAS,prednisona,prednisona,100.0,CIEL:82453,
166,,MEDROXYPROGESTERONA INYECTABLE 150MG - 1 AMPOLLA,medroxyprogesterona inyectable,progesterona,90.0,CIEL:82624,
167,,PROMETAZINA **ESPECIAL**,prometazina,,,CIEL:82670,promethazine
168,,PROPAFENONA TABLETAS **ESPECIAL**,propafenona tabletas,,,CIEL:82696,propafenone
169,,PROPRANOLOL 40MG - 30 TABLETAS,propranolol,propanolol,95.0,CIEL:82734,
170,,PLÁNTAGO PSYLLIUM - 400G,plántago psyllium,plántago psyllium,100.0,CIEL:82862,
171,,SHAMPOO VIN.QUASSIA PARA PIOJOS,shampoo vin.quassia para piojos,,,CIEL:82983,quassia shampoo for fleas
172,,QUETIAPINA 100MG - 100 TABLETAS,quetiapina,,,CIEL:82990,quetiapine
173,,QUETIAPINA 300MG - 60 TABLETAS,quetiapina,,,CIEL:82990,quetiapine
174,,RIFAXIMINA 200MG TABLETAS **ESPECIAL**,rifaximina,,,CIEL:83362,rifaximin
175,,RISPERIDONA 1MG 20 TABLETAS,risperidona,risperidona,100.0,CIEL:83405,
176,,RISPERIDONA 2MG 40 TABLETAS,risperidona,risperidona,100.0,CIEL:83405,
177,,SENOSIDOS A-B 8.6MG - 60 TABLETAS,senosidos a,,,CIEL:83809,sennosides
178,,SERTRALINA 50 MG - 14 TABLETAS,sertralina,sertralina,100.0,CIEL:83865,
179,,SILDENAFIL TABLETAS **ESPECIAL**,sildenafil tabletas,sildenafil,90.0,CIEL:83902,
180,,SIMVASTATINA 10MG - TABLETAS,simvastatina,,,CIEL:83936,simvastatin
181,,SULFAZALACINA 500MG TABLETAS **ESPECIAL**,sulfazalacina,,,CIEL:84480,sulfasalazine
182,,SUMATRIPTÁN 100 mg TABLETAS,sumatriptán,sumatriptán,100.0,CIEL:84522,
183,,TACROLIMUS 1% CREMA **ESPECIAL**,tacrolimus,,,CIEL:84646,tacrolimus
184,,TAMSULOSINA 0.4MG - 20 CAPSULAS,tamsulosina,tamsulosina,100.0,CIEL:84670,
185,,TERAZOSINA 2MG 20 TABLETAS,terazosina,terazosina,100.0,CIEL:84823,
186,,TETRACICLINA - Tableta,tetraciclina,tetraciclina,100.0,CIEL:84893,
187,,TOLTERIDONE TABLETAS **ESPECIAL**,tolteridone tabletas,tolteridone,90.0,CIEL:85218,
188,,TOPIRAMATO 100MG - 20 TABLETAS,topiramato,topiramato,100.0,CIEL:85235,
189,,TOPIRAMATO 25MG - 20 TABLETAS,topiramato,topiramato,100.0,CIEL:85235,
190,,TRAMADOL - Capsulas,tramadol,tramadol,100.0,CIEL:85276,
191,,TRAMADOL INYECTABLE 50MG/ML 5 AMPOLLAS DE 2ML,tramadol inyectable,tramadol,90.0,CIEL:85276,
192,,VENLAFAXINA 75MG - 20 TABLETAS,venlafaxina,venlafaxina de liberacion prolongada capsula,90.0,CIEL:86155,
193,,CLORFENAMINA - Tableta,clorfenamina,clorfenamina,100.0,CIEL:913,
194,,CLORFENAMINA JARABE 0.5MG/ML - 120ML,clorfenamina jarabe,clorfenamina,90.0,CIEL:913,
195,,PARACETAMOL/FENILEFRINA/CLORFENAMINA 325 mg/5 mg/2 mg - TABLETAS,paracetamol fenilefrina clorfenamina,clorfenamina,90.0,CIEL:913,
196,,AMITRIPTILINA,amitriptilina,,,CIEL:931,amitriptyline
197,,GENTAMICINA INYECTABLE 80MG/ML - 2ML,gentamicina inyectable,gentamicina,90.0,PIH:100,
198,,HIDROCLOROTIAZIDA 25MG - 20 TABLETAS,hidroclorotiazida,,,PIH:1243,hydrochlorothiazide
199,,OMEPRAZOL 20MG - 7 TABLETAS,omeprazol,omeprazol,100.0,PIH:1244,
200,,LEVONORGESTREL 1.5MG - 1 TABLETA,levonorgestrel,levonorgestrel,100.0,PIH:1718,
201,,METRONIDAZOL 500MG - 30 TABLETAS,metronidazol,metronidazol,100.0,PIH:237,
202,,METRONIDAZOL ADULTO SUSPENSION 5.0G - 120ML,metronidazol adulto suspension,metronidazol,90.0,PIH:237,
203,,METRONIDAZOL CREMA,metronidazol crema,metronidazol,90.0,PIH:237,
204,,METRONIDAZOL PEDIATRICO SUSPENSION 2.5G - 120ML,metronidazol pediatrico suspension,metronidazol,90.0,PIH:237,
205,,FENOBARBITAL 100mg 40 TABLETAS **ESPECIAL**,fenobarbital,fenobarbital,100.0,PIH:238,
206,,CLARITROMICINA 500MG - 10 TABLETAS,claritromicina,claritromicina,100.0,PIH:2459,
207,,DIAZEPAM - Tableta,diazepam,diazepam,100.0,PIH:247,
208,,DIAZEPAM INYECTABLE 10MG 1 AMPOLLA,diazepam inyectable,diazepam,90.0,PIH:247,
209,,NIFEDIPINO 10 MG TABLETAS,nifedipino,,,PIH:250,nifedipine
210,,NIFEDIPINO LP 30MG - 30 TABLETAS,nifedipino lp,,,PIH:250,nifedipine
211,,METILDOPA 250 MG - 30 TABLETAS **ESPECIAL**,metildopa,metildopa,100.0,PIH:251,
212,,AMOXICILINA 500 MG - 12 TABLETAS,amoxicilina,amoxicilina,100.0,PIH:265,
213,,AMOXICILINA SUSPENSION 500MG/5ML - 75ML,amoxicilina suspension,amoxicilina,90.0,PIH:265,
214,,CLORANFENICOL OFTALMICA 5MG/ML - 5ML,cloranfenicol oftalmica,,,PIH:266,chloramphenicol
215,,AMPICILINA INYECTABLE 1G - 1 AMPOLLA,ampicilina inyectable,ampicilina,90.0,PIH:269,
216,,AMPICILINA INYECTABLE 500MG - 1 AMPOLLA,ampicilina inyectable,ampicilina,90.0,PIH:269,
217,,CARVEDILOL 25MG - 14 TABLETAS **ESPECIAL**,carvedilol,carvedilol,100.0,PIH:3185,
218,,L-ORNITINA + L-ASPARTATO 3G - GRANULADOS [Hepa Merz] **ESPECIAL**,l,,,PIH:3186,l-ornithine and l-aspartate
219,,ISOSORBIDA (DINITRATO) 10MG - 20 TABLETAS,isosorbida (dinitrato),dinitrato de isosorbide,84.0,PIH:3428,
220,,ISOSORBIDA (DINITRATO) 5MG - 20 TABLETAS,isosorbida (dinitrato),dinitrato de isosorbide,84.0,PIH:3428,
221,,DIGOXINA 0.25MG - 20 TABLETAS **ESPECIAL**,digoxina,digoxina,100.0,PIH:3488,
222,,ELECTROLITOS ORALES - 1 SOBRE,electrolitos orales,,,PIH:351,oral electrolites
223,,GEL DE GLUCOSA ORAL,gel de glucosa oral,,,PIH:351,oral glucose gel
224,,BENCILPENICILINA BENZATILICA BENZATINICA COMPUESTA INYECTABLE - 1200000UI,bencilpenicilina benzatilica benzatinica compuesta inyectable,benzatina bencilpenicilina,86.0,PIH:4034,
225,,BENCILPENICILINA PROCAINICA Y CRISTALINA INYECTABLE 400 000 UI - 2ML,bencilpenicilina procainica y cristalina inyectable,benzatina bencilpenicilina,86.0,PIH:4034,
226,,GLUCONATO DE CALCIO INYECTABLE 10% - 1 AMPOLLA,gluconato de calcio inyectable,,,PIH:4035,calcium gluconate
227,,GLIBENCLAMIDA 5MG - 50 TABLETAS,glibenclamida,glibenclamida,100.0,PIH:4046,
228,,HALOPERIDOL 5MG - 20 TABLETAS **ESPECIAL**,haloperidol,haloperidol,100.0,PIH:4047,
229,,HALOPERIDOL DECANOATE INYECTABLE 50MG/ML **ESPECIAL**,haloperidol decanoate inyectable,haloperidol,90.0,PIH:4047,
230,,HALOPERIDOL INYECTABLE 5MG/ML,haloperidol inyectable,haloperidol,90.0,PIH:4047,
231,,CARBIDOPA/LEVODOPA 50/250MG - 100 CAPSULAS **ESPECIAL**,carbidopa levodopa,carbidopa   levodopa,95.0,PIH:4049,
232,,ESPIRONOLACTONA 25MG - 30 TABLETAS,espironolactona,espironolactona,100.0,PIH:4061,
233,,CALCIO Y VITAMINA A Y D2 - 60 TABLETAS,calcio y vitamina a y d,,,PIH:4063,calcium and vitamin A and D2
234,,DESPENSA PARA EMBARAZADA,despensa para embarazada,,,PIH:4063,"a mix of corn flour, beans, rice, soy, and oil given for pregnancy"
235,,ÓXIDO DE ZINC PASTA 25G/100G - 30G,óxido de zinc pasta,zinc,90.0,PIH:4064,
