,Unnamed: 0,name_es,name_clean,old_name_matches_clean,old_name_matches_score,concept,english
116,,LOSARTAN 100MG - 15 TABLETAS,losartan,losartán,93.0,CIEL:79074,
118,,VALPROATO DE MAGNESIO 200MG - 40 TABLETAS,valproato de magnesio,valproato de magnesio,100.0,CIEL:79251,
119,,VALPROATO DE MAGNESIO SUSPENSION 200MG/ML,valproato de magnesio suspension,valproato de magnesio,90.0,CIEL:79251,
124,,TIAMAZOL 5MG - 20 TABLETAS **ESPECIAL**,tiamazol,tiamazol,100.0,CIEL:79691,
126,,METILFENIDATO 10MG 30 TABLETAS,metilfenidato,,,CIEL:79739,methylphenidate
127,,METILPREDNISOLONA INYECTABLE 500MG **ESPECIAL**,metilprednisolona inyectable,metilprednisona,78.0,CIEL:79743,
133,,Mometasona intranasal,mometasona intranasal,,,CIEL:80049,mometasone
137,,MUPIROCINA CREMA 2%,mupirocina crema,,,CIEL:80194,mupirocin
138,,ACIDO MICOFENOLICO 500 MG - TABLETAS **ESPECIAL**,acido micofenolico,,,CIEL:80236,mycophenolic acid
139,,NALTREXONE 50MG - 30 TABLETAS,naltrexone,naltrexona,90.0,CIEL:80375,
140,,NEBIVOLOL 5MG TABLETAS **ESPECIAL**,nebivolol,,,CIEL:80470,nebivolol
141,,NEOMICINA/LIDOCAÍNA OTICA - 20 ml,neomicina lidocaína otica,,,CIEL:80514,neomycin
142,,NIMESULIDA JARABE **ESPECIAL**,nimesulida jarabe,,,CIEL:80665,Nimesulide
143,,NIMESULIDA TABLETAS,nimesulida tabletas,,,CIEL:80665,Nimesulide
144,,NITAZOXANIDA 500MG - 2 TABLETAS,nitazoxanida,nitazoxanida,100.0,CIEL:80675,
145,,NITAZOXANIDA SUSPENCION 100MG/5ML - 30ML,nitazoxanida suspencion,nitazoxanida,90.0,CIEL:80675,
146,,NITAZOXANIDA SUSPENCION 100MG/5ML - 60ML,nitazoxanida suspencion,nitazoxanida,90.0,CIEL:80675,
147,,NITROFURANTOINA 100MG - 40 CAPSULAS,nitrofurantoina,nitrofurantoína,97.0,CIEL:80696,
150,,OLANZAPINA 10MG - 14 TABLETAS,olanzapina,olanzapina,100.0,CIEL:81025,
151,,OLOPATADINA OFTALMICA **ESPECIAL**,olopatadina oftalmica,,,CIEL:81031,olopatadine
152,,OXCARBAZEPINA 600MG - 20 TABLETAS **ESPECIAL**,oxcarbazepina,oxcarbazepina,100.0,CIEL:81294,
154,,PAROXETINA 20MG - 20 TABLETAS **ESPECIAL**,paroxetina,paroxetina,100.0,CIEL:81604,
155,,PERINDOPRIL 4MG - 14 TABLETAS **ESPECIAL**,perindopril,,,CIEL:81822,perindopril
157,,VASELINA - 60G,vaselina,vaselina,100.0,CIEL:81861,
158,,FENAZOPIRIDINA 100MG 20 TABLETAS,fenazopiridina,,,CIEL:81909,Phenazopyridine
159,,"FITOMENADIONA INYECTABLE 2MG/0,2ML",fitomenadiona inyectable,,,CIEL:81943,phytomenadione
162,,ALCOHOL POLIVINILICO OFTALMICO - 10ML,alcohol polivinilico oftalmico,alcohol polivinil,90.0,CIEL:82315,
166,,MEDROXYPROGESTERONA INYECTABLE 150MG - 1 AMPOLLA,medroxyprogesterona inyectable,progesterona,90.0,CIEL:82624,
168,,PROPAFENONA TABLETAS **ESPECIAL**,propafenona tabletas,,,CIEL:82696,propafenone
170,,PLÁNTAGO PSYLLIUM - 400G,plántago psyllium,plántago psyllium,100.0,CIEL:82862,
171,,SHAMPOO VIN.QUASSIA PARA PIOJOS,shampoo vin.quassia para piojos,,,CIEL:82983,quassia shampoo for fleas
172,,QUETIAPINA 100MG - 100 TABLETAS,quetiapina,,,CIEL:82990,quetiapine
173,,QUETIAPINA 300MG - 60 TABLETAS,quetiapina,,,CIEL:82990,quetiapine
174,,RIFAXIMINA 200MG TABLETAS **ESPECIAL**,rifaximina,,,CIEL:83362,rifaximin
177,,SENOSIDOS A-B 8.6MG - 60 TABLETAS,senosidos a,,,CIEL:83809,sennosides
178,,SERTRALINA 50 MG - 14 TABLETAS,sertralina,sertralina,100.0,CIEL:83865,
179,,SILDENAFIL TABLETAS **ESPECIAL**,sildenafil tabletas,sildenafil,90.0,CIEL:83902,
181,,SULFAZALACINA 500MG TABLETAS **ESPECIAL**,sulfazalacina,,,CIEL:84480,sulfasalazine
182,,SUMATRIPTÁN 100 mg TABLETAS,sumatriptán,sumatriptán,100.0,CIEL:84522,
183,,TACROLIMUS 1% CREMA **ESPECIAL**,tacrolimus,,,CIEL:84646,tacrolimus
184,,TAMSULOSINA 0.4MG - 20 CAPSULAS,tamsulosina,tamsulosina,100.0,CIEL:84670,
185,,TERAZOSINA 2MG 20 TABLETAS,terazosina,terazosina,100.0,CIEL:84823,
186,,TETRACICLINA - Tableta - 500 mg,tetraciclina,tetraciclina,100.0,CIEL:84893,
187,,TOLTERIDONE TABLETAS **ESPECIAL**,tolteridone tabletas,tolteridone,90.0,CIEL:85218,
188,,TOPIRAMATO 100MG - 20 TABLETAS,topiramato,topiramato,100.0,CIEL:85235,
189,,TOPIRAMATO 25MG - 20 TABLETAS,topiramato,topiramato,100.0,CIEL:85235,
192,,VENLAFAXINA 75MG - 20 TABLETAS,venlafaxina,venlafaxina de liberacion prolongada capsula,90.0,CIEL:86155,
193,,CLORFENAMINA - Tableta - 4 mg,clorfenamina,clorfenamina,100.0,CIEL:913,
194,,CLORFENAMINA JARABE 0.5MG/ML - 120ML,clorfenamina jarabe,clorfenamina,90.0,CIEL:913,
195,,PARACETAMOL/FENILEFRINA/CLORFENAMINA 325 mg/5 mg/2 mg - TABLETAS,paracetamol fenilefrina clorfenamina,clorfenamina,90.0,CIEL:913,
196,,AMITRIPTILINA,amitriptilina,,,CIEL:931,amitriptyline
