010.000.1271.00,"PLÁNTAGO  PSYLLIUM DE 49.7 G/100 G, POLVO, ENVASE CON 400 G.",ENVASE CON 400 G,CIEL:82862,psyllium,-
SIN CLAVE,DIFENHIDRAMINA JARABE 12.5MG/ML,ENVASE,CIEL:75015,diphenhydramine,-
010.000.1506.00,ESTRÓGENOS CONJUGADOS CREMA VAGINAL 0.625 MG/ G,ENVASE CON 43 G. Y APLICADOR,CIEL:75929,"estrogens, conjugated (usp)",-
010.000.1501.00,"ESTROGENOS CONJUGADOS ORIGEN NATURAL, GRAGEAS DE .625 MG",ENVASE CON 42 GRAGEAS O TABLETAS,CIEL:104606,"estrogens, conjugated (usp) / estrone",-
010.000.2331.00,FENAZOPIRIDINA TABLETA 100 MG.,ENVASE CON 20 TABLETAS.,CIEL:81909,phenazopyridine,-
010.000.4201.00,HIDRALAZINA     SOLUCIÓN     INYECTABLE     CADA     AMPOLLETA     CONTIENE: CLORHIDRATO DE HIDRALAZINA  10 MG.,5 AMPOLLETAS CON 1.0 ML,CIEL:77675,hydralazine,-
4158,INSULINA GLARGINA SOLUCIÓN INYECTABLE 3.64 MG/ML.,ENVASE CON 5 CARTUCHOS DE VIDRIO CON 3 ML. EN DISPOSITIVO DESECHABLE,CIEL:78064,"insulin, glargine, human",-
SIN CLAVE,LORATADINA  JARABE 5MG/5ML.,ENVASE,CIEL:79053,loratadine,-
2520,LOSARTAN GRAGEA 50 MG,GRAGEA,CIEL:79074,losartan,-
SIN CLAVE,"NISTATINA SUSPENSION  ORAL 100,000 UI/ML.",ENVASE,PIH:919,nystatin,-
SIN CLAVE,NITROFURANTOINA SUSPENSION  25MG/5ML.,ENVASE,CIEL:80696,nitrofurantoin,-
010.000.3415.00,PIROXICAM  CAPSULA O TABLETA 20 MG.,ENVASE CON 20 CAPSULAS  O TABLETAS.,CIEL:82163,piroxicam,-
010.000.2263.00,"TIOTROPIO  MONOHIDRATADO, BROMURO  DE DE  18 µG,  CÁPSULA,  ENVASE CON 30 CÁPSULAS  (REPUESTO).",ENVASE CON 30 CÁPSULAS (REPUESTO).,CIEL:85157,tiotropium,-
010.000.2262.00,"TIOTROPIO  MONOHIDRATADO, BROMURO  DE DE  18 µG,  CÁPSULA,  ENVASE CON 30 CÁPSULAS  Y DISPOSITIVO  INHALADOR.",ENVASE CON 30 CÁPSULAS Y DISPOSITIVO INHALADOR.,CIEL:85157,tiotropium,-
060.016.0204,ACEITE LUBRICANTE  PARA PIEZA DE MANO DE BAJA VELOCIDAD,ENVASE C/240 ML.,CIEL:162138,lubricant jelly,-
600160154,ACEITE MINERAL PARA USO EXTERNO,FRASCO CON 250 ML,CIEL:79912,"mineral oil, light",-
060.308.0177,CONDÓN MASCULINO   DE HULE LÁTEX. ENVASE CON 100 PIEZAS.,ENVASE CON 100 PIEZAS,CIEL:190,condoms,-
060.596.0111,GLICERINA  ENVASE CON 55 ML,ENVASE,CIEL:77073,glycerin,-
060.182.1150,"HIDRÒXIDO  DE CALCIO ESTUCHE BASE-CATALIZADOR, PARA SELLAR CAVIDADES DENTALES. DE HIDRÓXIDO DE CALCIO, COMPUESTO AUTOPOLIMERIZABLE,  DOS  PASTAS   SEMILÍQUIDAS,  BASE  13G  Y CATALIZADOR 11GR CON BLOQUE DE PAPEL PARA MEZCLAR,  ESTUCHE  CON JUEGO Y APLICADOR  DESECHABLE",PIEZA,CIEL:72682,calcium hydroxide,-
060.066.0658,IODOPOVIDONA  ESPUMA.  CADA  100  ML  CONTIENEN:   IODOPOVIDONA  8  G. EQUIVALENTE A 0.8 G DE YODO.,ENVASE CON 3.5 L.,CIEL:82384,povidone iodine,-
060.066.0666,"IODOPOVIDONA SOLUCION  CADA  100 ML CONTIENEN  IODOPOVIDONA 11 G., EQUIVALENTE A 1.1 G DE YODO. ENVASE CON 3.5 ML.",ENVASE CON 3.5 L,CIEL:82384,povidone iodine,-
S/C,JABON CON CLORHEXIDINA AL 4 % ANTISEPTICO  DE AMPLIO ESPECTRO  CON ACCION  INTERMEDIA   Y  PROLONGADA  PARA  LAVADO  DE  MANOS INGREDIENTE ACTIVO AL 4 % P/V 946 ML PIEZA,PIEZA,CIEL:73265,chlorhexidine gluconate,-
060.543.0115,JALEA LUBRICANTE.  ASÉPTICA.,ENVASE CON 135 G,CIEL:162138,lubricant jelly,-
060.630.0028,MERCURIO  TRIDESTILADO. QUIMICAMENE PURO. ENVASE CON 250 G.,ENVASE CON 250 G,CIEL:79605,mercury,-
010.000.2624.00,"FENITOÍNA  SÓDICA  DE 250 MG/5  ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON UNA AMPOLLETA  (250 MG/5 ML).",UNA AMPOLLETA  CON 5 ML,CIEL:82024,,-
010.000.2610.00,"FENITOÍNA  SÓDICA DE 30 MG, TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,CIEL:82024,,-
010.000.3607.00,"GLUCOSA  ANHIDRA  DE CADA  100 ML CONTIENEN:  GLUCOSA  ANHIDRA  50 G EQUIVALENTE A 50.0 G DE GLUCOSA.  CONTIENE:  GLUCOSA  25 G, SOLUCIÓN INYECTABLE  AL 50 %, ENVASE CON 50 ML.",ENVASE CON 50 ML,CIEL:77054,,-
010.000.1712.00,HIERRO AMINOQUELADO Y ÁCIDO FÓLICO TABLETA  - HIERRO ELEMENTAL  30 MG ÁCIDO FÓLICO 0.500 MG - 30 TABLETAS,ENVASE,PIH:773,,-
010.000.2707.00,"ÁCIDO ASCÓRBICO  DE 100 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:4041,,-
010.000.0831.00,"ALANTOÍNA  Y ALQUITRÁN  DE HULLA DE 20.0 MG / 9.4 MG / ML, SUSPENSIÓN DÉRMICA, ENVASE CON 120 ML.",ENVASE CON 120 ML,CIEL:103349,,-
010.000.0861.00,"BENCILO,  BENZOATO  DE DE 300 MG / ML, EMULSIÓN  DÉRMICA,  ENVASE CON 120 ML.",ENVASE CON 120 ML,PIH:409,benzylbenzoate,-
010.000.1938.00,"BENCILPENICILINA BENZATÍNICA  COMPUESTA  SUSPENSIÓN  INYECTABLE  - BENZATÍNICA  600  000  UI, PROCAÍNICA  300  000  UI, CRISTALINA  300  000  UI - FRASCO ÁMPULA Y DILUYENTE  CON 3 ML",ENVASE CON UN FRASCO ÁMPULA Y DILUYENTE  CON 3 ML.,PIH:4034,benzylpenicillin,-
010.000.1925.00,"BENZATINA  BENCILPENICILINA DE  1 200  000  UI,  SUSPENSIÓN  INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.",ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.,PIH:4034,,-
010.000.1925.00,"BENZATINA  BENCILPENICILINA DE  1 200  000  UI,  SUSPENSIÓN  INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.",ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.,PIH:4034,,-
010.000.2146.00,"BUTILHIOSCINA (N BUTILBROMURO DE HIOSCINA)  - METAMIZOL)  DE 20 MG / 2.5 G / 5 ML, SOLUCIÓN INYECTABLE,  ENVASE CON 5 AMPOLLETAS DE 5 ML.",5 AMPOLLETAS CON 5 ML,CIEL:431,Hyoscine butylbromide,-
010.000.1206.00,"BUTILHIOSCINA, BROMURO  DE  O BUTILBROMURO DE  HIOSCINA  DE  10  MG, GRAGEA O TABLETA, ENVASE CON 10 GRAGEA O TABLETAS.",10 GRAGEAS O TABLETAS,CIEL:431,Hyoscine butylbromide,-
010.000.1207.00,"BUTILHIOSCINA, BROMURO  DE  Ó BUTILBROMURO DE  HIOSCINA  DE  20  MG, SOLUCIÓN INYECTABLE,  ENVASE CON 3 AMPOLLETAS DE 1 ML.",3 AMPOLLETAS CON 1.0 ML,CIEL:431,Hyoscine butylbromide,
010.000.2822.00,"CLORANFENICOL LEVÓGIRO  DE  5  MG/G,  UNGÜENTO   OFTÁLMICO,   ENVASE CON 5 G.",ENVASE CON 5 G,PIH:266,,-
010.000.2821.00,"CLORANFENICOL LEVÓGIRO  DE  5  MG/ML,  SOLUCIÓN  OFTÁLMICA,   ENVASE CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,PIH:266,,-
010.000.0525.00,"FENITOÍNA   SÓDICA   DE  100  MG,  CÁPSULA   O  TABLETA,   ENVASE   CON  50 TABLETAS O CÁPSULAS.",50 TABLETAS O CÁPSULAS,CIEL:82024,,-
010.000.2611.00,"FENITOÍNA  DE  37.5  MG/5  ML,  SUSPENSIÓN   ORAL,  ENVASE  CON  120  ML  Y VASITO DOSIFICADOR DE 5 ML.",ENVASE CON 120 ML Y DOSIFICADOR DE 5 ML,CIEL:82023,,-
010.000.1732.00,"FITOMENADIONA DE  2  MG,  SOLUCIÓN  O  EMULSIÓN  INYECTABLE,   ENVASE CON 3 AMPOLLETAS DE 0.2 ML.",3 AMPOLLETAS CON 0.2 ML,CIEL:86353,vitamin k 1,-
010.000.1732.01,"FITOMENADIONA DE  2  MG,  SOLUCIÓN  O  EMULSIÓN  INYECTABLE,   ENVASE CON 5 AMPOLLETAS DE 0.2 ML.",ENVASE CON 5 AMPOLLETAS DE 0.2 ML.,CIEL:86353,vitamin k 1,-
010.000.0108.00,"METAMIZOL     SÓDICO     DE    500    MG,    COMPRIMIDO,    ENVASE     CON    10 COMPRIMIDOS.",10 COMPRIMIDOS,CIEL:75047,DIPYRONE,-
010.000.0109.00,"METAMIZOL  SÓDICO  DE 1 G / 2 ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON 3 AMPOLLETAS CON 2 ML.",3 AMPOLLETAS CON 2 ML,CIEL:75047,DIPYRONE,-
010.000.0804.00,"ÓXIDO DE ZINC DE 25. 0 G / 100 G, PASTA, ENVASE CON 30 G.",ENVASE CON 30 G,PIH:4064,,-
010.000.1704.00,"SULFATO  FERROSO  HEPTAHIDRATADO DE 125 MG / ML, EQUIVALENTE A 25 MG/ML DE HIERRO ELEMENTAL,  SOLUCIÓN,  ENVASE GOTERO CON 15 ML.",ENVASE GOTERO CON 15 ML,PIH:256,Ferrous sulfate,
010.000.5075.00,"TEOFILINA   ANHIDRA   DE  533  MG/100   ML,  ELÍXIR,  ENVASE   CON  450  ML  Y DOSIFICADOR.",ENVASE CON 450 ML,CIEL:84950,THEOPHYLLINE ANHYDROUS,
010.000.0437.00,"TEOFILINA  ANHIDRA  DE  100  MG.,  COMPRIMIDO  Ó TABLETA  O CÁPSULA  DE LIBERACIÓN  PROLONGADA, ENVASE  CON  20 COMPRIMIDOS O TABLETAS  O CÁPSULAS  DE LIBERACIÓN  PROLONGADA.",20 COMPRIMIDOS Ó TABLETAS Ó CÁPSULAS  DE LIBERACIÓN PROLONGADA,CIEL:84950,THEOPHYLLINE ANHYDROUS,
010.000.0591.00,"TRINITRATO  DE  GLICERILO  DE  0.8  MG,  CÁPSULA  O TABLETA  MASTICABLE, ENVASE CON 24 CÁPSULAS  O TABLETAS MASTICABLES.",24 CÁPSULAS  O TABLETAS,CIEL:80704,Nitroglycerin,
010.000.0113.00,"BUTILHIOSCINA - METAMIZOL  GRAGEA 10 MG/ 250 MG,",ENVASE CON 36 GRAGEAS,CIEL:431,Hyoscine butylbromide,
010.000.2146.00,BUTILHIOSCINA - METAMIZOL  SOLUCIÓN INYECTABLE  20 MG/2.5 G/5 ML,ENVASE CON 5 AMPOLLETAS DE 5 ML.,CIEL:431,Hyoscine butylbromide,
1006,CALCIO COMPRIMIDO EFERVESCENTE CADA COMPRIMIDO CONTIENE: LACTATO GLUCONATO DE CALCIO 2.94 G CARBONATO DE CALCIO 300 MG EQUIVALENTE A 500 MG DE CALCIO IONIZABLE. ,12 comprimidos,CIEL:72660,CALCIUM CARBONATE,
010.000.0626.01,"FITOMENADIONA  SOLUCIÓN   O  EMULSIÓN   INYECTABLE,   CADA  AMPOLLETA CONTIENE   FITOMENADIONA 10 MG. PRESENTACIÓN: 5 AMPOLLETAS CON 1.0 ML",ENVASE CON 5 AMPOLLETAS DE 1 ML.,CIEL:86353,,
010.000.1705.00,HIERRO  DEXTRÁN  SOLUCIÓN  INYECTABLE  - 100  MG/2  ML  - 3 AMPOLLETAS CON 2 ML,ENVASE,CIEL:78230,,
010.000.1712.00,HIERRO AMINOQUELADO Y ÁCIDO FÓLICO TABLETA  - HIERRO ELEMENTAL  30 MG ÁCIDO FÓLICO 0.500 MG - 30 TABLETAS,ENVASE,PIH:773,,
010.000.4184.00,LOPERAMIDA  TABLETA CADA COMPRIMIDO  TABLETAS  O GRAGEA CONTIENE: CLORHIDRATO DE LOPERAMIDA  2 MG.,ENVASE CON 12 TABLETAS.,CIEL:79038,,
010.000.2715.00,VITAMINA E GRAGEA O CÁPSULA DE GELATINA 400 MG,ENVASE CON 99 Ó 100 GRAGEAS O CAPSULAS,CIEL:86347,,
010.000.1927.00,"DICLOXACILINA SÓDICA  DE 250 MG / 5 ML, SUSPENSIÓN  ORAL, ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR.",ENVASE PARA 60 ML,CIEL:74794,DICLOXACILLIN SODIUM,
010.000.1926.00,"DICLOXACILINA SÓDICA  DE 500 MG, CÁPSULA  O COMPRIMIDO, ENVASE  CON 20 CÁPSULAS  O COMPRIMIDOS.",20 CÁPSULAS  O COMPRIMIDOS,CIEL:74794,DICLOXACILLIN SODIUM,
010.000.3510.00,"ETONOGESTREL  DE   68   MG,   IMPLANTE,   ENVASE   CON   UN   IMPLANTE   Y APLICADOR.",IMPLANTE Y APLICADOR.,CIEL:76022,ETONOGESTREL,
010.000.4157.00,"INSULINA ZINC COMPUESTA  HUMANA (ORIGEN ADN RECOMBINANTE )ACCIÓN INTERMEDIA   DE  100  UI  /  ML,  SUSPENSIÓN   INYECTABLE,   ENVASE  CON  UN FRASCO ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,CIEL:78086,"INSULIN, ZINC, HUMAN",
010.000.1050.00,"INSULINA ZINC ISÓFANA HUMANA ACCIÓN INTERMEDIA NPH (ORIGEN ADN RECOMBINANTE ) DE 100  UI / ML,  SUSPENSIÓN  INYECTABLE,  ENVASE  CON UN FRASCO ÁMPULA CON 5 ML.",UN FRASCO ÁMPULA CON 5 ML,CIEL:78068,"INSULIN, ISOPHANE, HUMAN",
010.000.3504.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 21 GRAGEAS.",21 GRAGEAS,CIEL:162296,Levonorgestrel/Ethinylestradiol,
010.000.3507.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 28 GRAGEAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 GRAGEAS (21 CON HORMONALES Y 7 SINHORMONALES),CIEL:162296,Levonorgestrel/Ethinylestradiol,
010.000.0572.00,"METOPROLOL,  TARTRATO   DE   DE   100   MG,   TABLETA,   ENVASE   CON   20 TABLETAS.",20 TABLETAS,CIEL:79767,METOPROLOL TARTRATE,
010.000.1310.00,"METRONIDAZOL,  BENZOILO   DE  DE  250  MG  /  5  ML,  SUSPENSIÓN   ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:79783,METRONIDAZOLE BENZOATE,
010.000.2801.00,ZINC Y FENILEFRINA  SOLUCIÓN OFTÁLMICA  2.5 MG/1.2 MG/ ML,ENVASE CON GOTERO INTEGRAL CON 15 ML.,CIEL:105169,,
010.000.1223.00,"ALUMINIO,  HIDRÓXIDO  DE - MAGNESIO  TRISILICATO  DE DE 200 MG/447.3  MG, TABLETA MASTICABLE,  ENVASE CON 50 TABLETAS MASTICABLES.",50 TABLETAS,PIH:314,,
010.000.1224.00,"ALUMINIO,  HIDRÓXIDO  DE - MAGNESIO  TRISILICATO  DE DE 3.7 MG/8.9  G/100 ML, SUSPENSIÓN  ORAL, ENVASE CON 240 ML Y DOSIFICADOR.",ENVASE CON 240 ML,PIH:314,,
010.000.0426.00,"AMINOFILINA   DE  250  MG/10  ML,  SOLUCIÓN   INYECTABLE,   ENVASE   CON  5 AMPOLLETAS DE 10 ML.",5 AMPOLLETAS DE 10 ML,CIEL:71101,,
010.000.0822.00,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 30 ML.",ENVASE CON 30 ML,CIEL:72063,,
010.000.0822.01,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 50 ML.",ENVASE CON 50 ML,CIEL:72063,,
010.000.0822.02,"BENZOILO,  PERÓXIDO DE DE 5 G / 100 G, GEL DÉRMICO, ENVASE CON 60 G.",ENVASE CON 60 ML,CIEL:72063,,
010.000.1991.00,"CLORANFENICOL DE 500 MG, CÁPSULA, ENVASE CON 20 CÁPSULAS.",20 CÁPSULAS,PIH:266,,
010.000.3505.00,"DESOGESTREL Y ETINILESTRADIOL DE 0.15 MG/0.03  MG,  TABLETA,  ENVASE CON 21 TABLETAS.",21 TABLETAS,CIEL:104421,,
010.000.3508.00,"DESOGESTREL Y ETINILESTRADIOL DE 0.15 MG/0.03  MG,  TABLETA,  ENVASE CON 28 TABLETAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 TABLETAS (21 CON HORMONALES Y 7 SIN HORMONALES),CIEL:104421,,
010.000.1941.00,"DOXICICLINA,  HICLATO  DE DE 50 MG, CÁPSULA  O TABLETA,  ENVASE  CON 28 CÁPSULAS  O TABLETAS.",28 CÁPSULAS  O TABLETAS,CIEL:75224,,
010.000.1940.00,"DOXICICLINA,  HICLATO DE DE 100 MG, CÁPSULA O TABLETA, ENVASE CON 10 CÁPSULAS  O TABLETAS.",10 CÁPSULAS  O TABLETAS,CIEL:75224,,
010.000.0265.00,"LIDOCAÍNA,  CLORHIDRATO DE,  EPINEFRINA  DE  1  G  / (1:200000)  / 0.25  MG, SOLUCIÓN  INYECTABLE  AL  2%,  ENVASE  CON  5 FRASCOS  ÁMPULA  CON  50 ML.",5 FRASCOS ÁMPULA CON 50 ML,CIEL:104584,,
010.000.0267.00,"LIDOCAÍNA,  CLORHIDRATO DE, EPINEFRINA  DE 36 MG / (1:100000)  / 0.018 MG, SOLUCIÓN INYECTABLE  AL 2%, ENVASE CON 50 CARTUCHOS  DENTALES  CON 1.8 ML.",50 CARTUCHOS DENTALES  CON 1.8 ML,CIEL:104584,,
010.000.0263.00,"LIDOCAÍNA,  CLORHIDRATO DE, GLUCOSA  MONOHIDRATADA DE 100 MG / 2 ML / 150 MG, SOLUCIÓN  INYECTABLE  AL 5%, ENVASE CON 50 AMPOLLETAS CON 2 ML.",50 AMPOLLETAS CON 2 ML,CIEL:104735,,
010.000.1903.00,"TRIMETOPRIMA  -  SULFAMETOXAZOL  DE  80  MG/400   MG,   COMPRIMIDO   O TABLETA, ENVASE CON 20 COMPRIMIDOS O TABLETAS.",20 TABLETAS O COMPRIMIDOS,CIEL:105281,,
010.000.1904.00,"TRIMETOPRIMA -  SULFAMETOXAZOL DE  40  MG/200  MG/5  ML,  SUSPENSIÓN ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:105281,,
010.000.4025.00,"EZETIMIBA-SIMVASTATINA DE 10 MG/ 20 MG, COMPRIMIDO, ENVASE  CON 14 COMPRIMIDOS.",ENVASE CON 14 COMPRIMIDOS.,CIEL:104633,,
010.000.4097.00,"IRBESARTÁN  - HIDROCLOROTIAZIDA DE 150 MG/12.5  MG, TABLETA,  ENVASE CON 28 TABLETAS.",ENVASE CON 28 TABLETAS.,CIEL:104831,,
SIN CLAVE,LIDOCAINA-HIDROCORTISONA UNGÜENTO  50 MG/2.5 MG/1G,ENVASE,CIEL:104859,,
010.000.2542.00,"TELMISARTÁN - HIDROCLOROTIAZIDA DE 80.0 MG/12.5 MG, TABLETA, ENVASE CON 14 TABLETAS.",ENVASE CON 14 TABLETAS.,CIEL:104843,,
030.000.0011.00,"SUCEDÁNEO   DE   LECHE   HUMANA   DE   TÉRMINO   DE   KCAL   509-528/100G, LÍPIDOS 25.80-28.90/100G, PROTEÍNAS  9.50-12.0/100G, HIDRATO DE CARBONO 55.20-57.90/100G, POLVO,  ENVASE  DE LATA  CON 400 A 454 G Y MEDIDA  DE 4.30 A 4.50 G.",ENVASE CON 400 A 454 G,CIEL:5254,,
