010.000.1096.00,"BROMOCRIPTINA,   MESILATO    DE   (GT5)   DE   CADA   TABLETA    CONTIENE: MESILATO  DE BROMOCRIPTINA EQUIVALENTE A 2.5 MG DE BROMOCRIPTINA., TABLETA, ENVASE CON 14 TABLETAS.",14 TABLETAS,CIEL:72411,bromocriptine,92,
010.000.0113.00,"BUTILHIOSCINA - METAMIZOL  GRAGEA 10 MG/ 250 MG,",ENVASE CON 36 GRAGEAS,CIEL:431,Hyoscine butylbromide,,
010.000.2146.00,BUTILHIOSCINA - METAMIZOL  SOLUCIÓN INYECTABLE  20 MG/2.5 G/5 ML,ENVASE CON 5 AMPOLLETAS DE 5 ML.,CIEL:431,Hyoscine butylbromide,,
010.000.2146.00,"BUTILHIOSCINA (N BUTILBROMURO DE HIOSCINA)  - METAMIZOL)  DE 20 MG / 2.5 G / 5 ML, SOLUCIÓN INYECTABLE,  ENVASE CON 5 AMPOLLETAS DE 5 ML.",5 AMPOLLETAS CON 5 ML,CIEL:431,Hyoscine butylbromide,,
010.000.1206.00,"BUTILHIOSCINA, BROMURO  DE  O BUTILBROMURO DE  HIOSCINA  DE  10  MG, GRAGEA O TABLETA, ENVASE CON 10 GRAGEA O TABLETAS.",10 GRAGEAS O TABLETAS,CIEL:431,Hyoscine butylbromide,,
010.000.1207.00,"BUTILHIOSCINA, BROMURO  DE  Ó BUTILBROMURO DE  HIOSCINA  DE  20  MG, SOLUCIÓN INYECTABLE,  ENVASE CON 3 AMPOLLETAS DE 1 ML.",3 AMPOLLETAS CON 1.0 ML,CIEL:431,Hyoscine butylbromide,,
1006,CALCIO COMPRIMIDO EFERVESCENTE CADA COMPRIMIDO CONTIENE: LACTATO GLUCONATO DE CALCIO 2.94 G CARBONATO DE CALCIO 300 MG EQUIVALENTE A 500 MG DE CALCIO IONIZABLE. ,12 comprimidos,CIEL:72660,CALCIUM CARBONATE,,
010.000.0574.00,"CAPTOPRIL  DE 25 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,PIH:3182,captopril,100,
010.000.1939.00,"CEFALEXINA  MONOHIDRATADA DE  500  MG,  TABLETA  O CÁPSULA,  ENVASE CON 20 TABLETAS O CÁPSULAS.",ENVASE CON 20 TABLETAS O CÁPSULAS.,CIEL:73087,cefalexin,90,
010.000.2248.00,CINITAPRIDA  GRANULADO  1 MG 30 SOBRES,ENVASE,CIEL:73429,cinitapride,,
010.000.2247.00,"CINITAPRIDA,   BITARTRATO   DE  DE  1  MG,  COMPRIMIDO,  ENVASE   CON  25 COMPRIMIDOS.",25 COMPRIMIDOS,CIEL:73429,cinitapride,91,
010.000.2248.00,"CINITAPRIDA,   BITARTRATO   DE  DE  1  MG,  GRANULADO,   ENVASE   CON  30 SOBRES.",30 SOBRES,CIEL:73429,cinitapride,91,
010.000.2249.00,"CINITAPRIDA,  BITARTRATO  DE DE 20 MG/100  ML, SOLUCIÓN  ORAL,  ENVASE CON 120 ML (1 MG/5 ML) Y CUCHARITA  DOSIFICADORA.",ENVASE CON 120 ML Y CUCHARITA DOSIFICADORA,CIEL:73429,cinitapride,91,
010.000.4255.00,"CIPROFLOXACINO   MONOHIDRATADO,   CLORHIDRATO   DE    DE    250    MG, CÁPSULA O TABLETA, ENVASE CON 8 CÁPSULAS  O TABLETAS.",8 CÁPSULAS  Ó TABLETAS,PIH:740,ciprofloxacin,90,
010.000.1208.00,CISAPRIDA  SUSPENSIÓN  CADA 100 ML CONTIENEN:  CISAPRIDA  100 MG,ENVASE CON 60 ML Y DOSIFICADOR DE 5 ML,CIEL:73453,cisapride,,
010.000.2147.00,CISAPRIDA  TABLETA 10 MG,CAJA CON 30 TABLETAS,CIEL:73453,cisapride,,
010.000.1209.00,CISAPRIDA  TABLETA CADA TABLETA CONTIENE:  CISAPRIDA  5 MG .,ENVASE CON 30 TABLETAS.,CIEL:73453,cisapride,,
010.000.5487.00,"CITALOPRAM,  BROMHIDRATO  DE  DE  20  MG,  TABLETA,   ENVASE   CON  14 TABLETAS.",14 TABLETAS,CIEL:73461,citalopram,100,
010.000.5487.01,"CITALOPRAM,  BROMHIDRATO  DE  DE  20  MG,  TABLETA,   ENVASE   CON  28 TABLETAS.",28 TABLETAS,CIEL:73461,citalopram,100,
010.000.2132.00,"CLARITROMICINA DE 250 MG, TABLETA, ENVASE CON 10 TABLETAS.",10 TABLETAS,PIH:2459,clarithromycin,86,
010.000.2133.00,"CLINDAMICINA, CLORHIDRATO DE  DE  300  MG,  CÁPSULA,  ENVASE  CON  16 CÁPSULAS.",16 CÁPSULAS,CIEL:73546,clindamycin,87,
010.000.0872.00,"CLIOQUINOL  DE 30 MG / G, CREMA, ENVASE CON 20 G.",ENVASE CON 20 G,CIEL:73560,clioquinol,100,
010.000.1991.00,"CLORANFENICOL DE 500 MG, CÁPSULA, ENVASE CON 20 CÁPSULAS.",20 CÁPSULAS,PIH:266,,,
010.000.2822.00,"CLORANFENICOL LEVÓGIRO  DE  5  MG/G,  UNGÜENTO   OFTÁLMICO,   ENVASE CON 5 G.",ENVASE CON 5 G,PIH:266,,,
010.000.2821.00,"CLORANFENICOL LEVÓGIRO  DE  5  MG/ML,  SOLUCIÓN  OFTÁLMICA,   ENVASE CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,PIH:266,,,
010.000.0402.00,"CLORFENAMINA,  MALEATO   DE   DE   4.0   MG,   TABLETA,   ENVASE   CON   20 TABLETAS.",20 TABLETAS,CIEL:913,chlorphenamine,77,
010.000.2142.00,"CLORFENAMINA,  MALEATO   DE  DE  10  MG  /  ML,  SOLUCIÓN   INYECTABLE, ENVASE CON 5 AMPOLLETAS CON 1 ML.",5 AMPOLLETAS,CIEL:913,chlorphenamine,77,
010.000.0408.00,"CLORFENAMINA, MALEATO DE DE 0.5 MG/ML, JARABE, ENVASE CON 60 ML.",ENVASE CON 60 ML,CIEL:913,chlorphenamine,77,
010.000.2030.00,"CLOROQUINA,  FOSFATO   DE   DE   150   MG,   TABLETA,   ENVASE   CON   1,000 TABLETAS.",1000 TABLETAS,PIH:98,chloroquine phosphate,81,
010.000.0561.00,"CLORTALIDONA (GT3) DE 50 MG, TABLETA, ENVASE CON 20 TABLETAS.",ENVASE CON 20 TABLETAS.,CIEL:73338,chlorthalidone,85,
010.000.3409.00,"COLCHICINA  DE 1 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:73702,colchicine,90,
010.000.2714.00,"COMPLEJO   B  DE  TIAMINA,   MONONITRATO  DE,  100MG,  PIRIDOXINA   5  MG, CIANOCOBALAMINA 50 µG, TABLETA, COMPRIMIDO  O CÁPSULA,  ENVASE CON 30 TABLETAS,  COMPRIMIDOS O CÁPSULAS.","30 TABLETAS, COMPRIMIDOS O CÁPSULAS",CIEL:84995,thiamine,-,
060.308.0177,CONDÓN MASCULINO   DE HULE LÁTEX. ENVASE CON 100 PIEZAS.,ENVASE CON 100 PIEZAS,CIEL:190,condoms,,
010.000.0464.00,"CROMOGLICATO DE SODIO  DE 560/ 5 MG, SUSPENSIÓN  AEROSOL,  ENVASE CON ESPACIADOR  PARA 112 DOSIS DE 5 MG.",ENVASE CON 16 G PARA 112 INHALACIONES,CIEL:74044,cromoglycate,83,
010.000.0906.00,"DAPSONA DE 100 MG, TABLETA, ENVASE CON 1,000 TABLETAS.",1000 TABLETAS,PIH:92,dapsone,86,
010.000.3505.00,"DESOGESTREL Y ETINILESTRADIOL DE 0.15 MG/0.03  MG,  TABLETA,  ENVASE CON 21 TABLETAS.",21 TABLETAS,CIEL:104421,,,
010.000.3508.00,"DESOGESTREL Y ETINILESTRADIOL DE 0.15 MG/0.03  MG,  TABLETA,  ENVASE CON 28 TABLETAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 TABLETAS (21 CON HORMONALES Y 7 SIN HORMONALES),CIEL:104421,,,
010.000.2431.00,DEXTROMETORFANO JARABE 300 MG.,ENVASE CON 60 ML Y DOSIFICADOR,CIEL:74666,dextromethorphan,84,
010.000.5501.00,"DICLOFENACO  SÓDICO  DE  75  MG/3  ML,  SOLUCIÓN   INYECTABLE,   ENVASE CON 2 AMPOLLETAS CON 3 ML.",2 AMPOLLETAS CON 3 ML,CIEL:74782,diclofenac sodium,82,
010.000.3417.00,"DICLOFENACO SÓDICO  DE  100  MG,  CÁPSULA  O  GRAGEA  DE  LIBERACIÓN PROLONGADA, ENVASE CON 20 CÁPSULAS  O GRAGEAS.",20 CÁPSULAS  O GRAGEAS,CIEL:74782,diclofenac sodium,82,
010.000.1927.00,"DICLOXACILINA SÓDICA  DE 250 MG / 5 ML, SUSPENSIÓN  ORAL, ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR.",ENVASE PARA 60 ML,CIEL:74794,DICLOXACILLIN SODIUM,,
010.000.1926.00,"DICLOXACILINA SÓDICA  DE 500 MG, CÁPSULA  O COMPRIMIDO, ENVASE  CON 20 CÁPSULAS  O COMPRIMIDOS.",20 CÁPSULAS  O COMPRIMIDOS,CIEL:74794,DICLOXACILLIN SODIUM,,
SIN CLAVE,DIFENHIDRAMINA JARABE 12.5MG/ML,ENVASE,CIEL:75015,diphenhydramine,,
010.000.0406.00,"DIFENHIDRAMINA,   CLORHIDRATO   DE   DE   100   MG   /   10   ML,   SOLUCIÓN INYECTABLE,  ENVASE CON FRASCO ÁMPULA DE 10 ML.",FRASCO ÁMPULA CON 10 ML.,CIEL:75015,diphenhydramine,76,
010.000.0405.00,"DIFENHIDRAMINA, CLORHIDRATO DE  DE  250  MG/100  ML,  JARABE,  ENVASE CON 60 ML.",ENVASE CON 60 ML,CIEL:75015,diphenhydramine,76,
010.000.3111.00,"DIFENIDOL,    CLORHIDRATO  DE   DE   25   MG,   TABLETA,   ENVASE   CON   30 TABLETAS.",30 TABLETAS,CIEL:75020,diphenidol,84,
010.000.3112.00,"DIFENIDOL,   CLORHIDRATO  DE  DE  40  MG/  2  ML,  SOLUCIÓN   INYECTABLE, ENVASE CON 2 AMPOLLETAS CON 2 ML.",ENVASE CON 2 AMPOLLETAS CON 2 ML.,CIEL:75020,diphenidol,84,
010.000.0503.00,"DIGOXINA   DE  0.05  MG  /  ML,  ELÍXIR,   ENVASE   CON  60  ML  CON  GOTERO CALIBRADO  DE  1  ML  INTEGRADO  O ADJUNTO  AL  FRASCO  Y LE  SIRVE  DE TAPA.",ENVASE CON 60 ML,PIH:3488,digoxin,93,
010.000.0504.00,"DIGOXINA   DE  0.5   MG  /  2  ML,   SOLUCIÓN   INYECTABLE,   ENVASE   CON   6 AMPOLLETAS DE 2 ML.",6 AMPOLLETAS DE 2 ML,PIH:3488,digoxin,93,
010.000.0502.00,"DIGOXINA DE 0.25 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:3488,digoxin,93,
010.000.2196.00,"DIMENHIDRINATO DE 50 MG/ML,  SOLUCIÓN  INYECTABLE,  ENVASE  CON UNA AMPOLLETA  DE 1 ML.",AMPOLLETA  CON 1 ML,CIEL:74935,dimenhydrinate,86,
010.000.1941.00,"DOXICICLINA,  HICLATO  DE DE 50 MG, CÁPSULA  O TABLETA,  ENVASE  CON 28 CÁPSULAS  O TABLETAS.",28 CÁPSULAS  O TABLETAS,CIEL:75224,,,
010.000.1940.00,"DOXICICLINA,  HICLATO DE DE 100 MG, CÁPSULA O TABLETA, ENVASE CON 10 CÁPSULAS  O TABLETAS.",10 CÁPSULAS  O TABLETAS,CIEL:75224,,,
010.000.0611.00,"EPINEFRINA  DE  CADA  AMPOLLETA  CONTIENE:  EPINEFRINA  1 MG  (1:1  000), SOLUCIÓN INYECTABLE,  ENVASE CON 50 AMPOLLETAS CON 1 ML.",50 AMPOLLETAS DE 1.0 ML,CIEL:75744,epinephrine,76,
010.000.1972.00,"ERITROMICINA,  ESTEARATO   DE  DE  250  MG  /  5  ML,  SUSPENSIÓN   ORAL, ENVASE CON POLVO PARA 100 ML Y DOSIFICADOR.",ENVASE PARA 100 ML,CIEL:75842,erythromycin,75,
010.000.1971.00,"ERITROMICINA, ESTEARATO  DE DE 500 MG,  CÁPSULA  O TABLETA,  ENVASE CON 20 CÁPSULAS  O TABLETAS.",20 CÁPSULAS  O TABLETAS,CIEL:75842,erythromycin,75,
5186,ESOMEPRAZOL O PANTOPRAZOL O RABEPRAZOL U OMEPRAZOL O (AGRUPAMIENTO DE INHIBIDORES LA BOMBA DE PROTONES) TABLETA O GRAGEA O CáPSULA ESOMEPRAZOL 40 MG O PANTOPRAZOL 40 MG O RABEPRAZOL 20 MG U OMEPRAZOL 20 MG. ,"7, 14 tabletas o grageas o cápsulas",PIH:1244,omeprazole,81,
010.000.2156.00,"ESPIRONOLACTONA DE 100 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,PIH:4061,spironolactone,90,
010.000.2304.00,"ESPIRONOLACTONA DE 25 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:4061,spironolactone,90,
010.000.2304.01,"ESPIRONOLACTONA DE 25 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,PIH:4061,spironolactone,90,
010.000.2403.00,"ESTREPTOMICINA, SULFATO  DE  DE  1  G,  SOLUCIÓN  INYECTABLE,   ENVASE CON UN FRASCO ÁMPULA Y DILUYENTE  CON 2 ML.",FRASCO ÁMPULA Y DILUYENTE  CON 2 ML,CIEL:84360,streptomycin,85,
010.000.1506.00,ESTRÓGENOS CONJUGADOS CREMA VAGINAL 0.625 MG/ G,ENVASE CON 43 G. Y APLICADOR,CIEL:75929,"estrogens, conjugated (usp)",,
010.000.1489.00,"ESTRÓGENOS CONJUGADOS DE ORIGEN  VEGETAL  DE 0.625 MG, GRAGEA  O TABLETA, ENVASE CON 42 GRAGEAS O TABLETAS.",42 GRAGEAS O TABLETAS,CIEL:75929,"estrogens, conjugated (usp)",77,
010.000.1501.00,"ESTROGENOS CONJUGADOS ORIGEN NATURAL, GRAGEAS DE .625 MG",ENVASE CON 42 GRAGEAS O TABLETAS,CIEL:104606,"estrogens, conjugated (usp) / estrone",,
010.000.2405.00,"ETAMBUTOL,   CLORHIDRATO  DE  DE  400  MG,  TABLETA,   ENVASE   CON  50 TABLETAS.",50 TABLETAS,PIH:745,ethambutol,95,
010.000.3510.00,"ETONOGESTREL  DE   68   MG,   IMPLANTE,   ENVASE   CON   UN   IMPLANTE   Y APLICADOR.",IMPLANTE Y APLICADOR.,CIEL:76022,ETONOGESTREL,,
010.000.4025.00,"EZETIMIBA-SIMVASTATINA DE 10 MG/ 20 MG, COMPRIMIDO, ENVASE  CON 14 COMPRIMIDOS.",ENVASE CON 14 COMPRIMIDOS.,CIEL:104633,,,
010.000.2114.00,FELODIPINO  TABLETA DE LIBERACIÓN  PROLONGADA 5 MG,ENVASE CON 10 TABLETAS,CIEL:76211,felodipine,71,
010.000.2331.00,FENAZOPIRIDINA TABLETA 100 MG.,ENVASE CON 20 TABLETAS.,CIEL:81909,phenazopyridine,,
010.000.0525.00,"FENITOÍNA   SÓDICA   DE  100  MG,  CÁPSULA   O  TABLETA,   ENVASE   CON  50 TABLETAS O CÁPSULAS.",50 TABLETAS O CÁPSULAS,CIEL:82024,,,
010.000.2611.00,"FENITOÍNA  DE  37.5  MG/5  ML,  SUSPENSIÓN   ORAL,  ENVASE  CON  120  ML  Y VASITO DOSIFICADOR DE 5 ML.",ENVASE CON 120 ML Y DOSIFICADOR DE 5 ML,CIEL:82023,,,
010.000.2624.00,"FENITOÍNA  SÓDICA  DE 250 MG/5  ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON UNA AMPOLLETA  (250 MG/5 ML).",UNA AMPOLLETA  CON 5 ML,CIEL:82024,,,
010.000.2610.00,"FENITOÍNA  SÓDICA DE 30 MG, TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,CIEL:82024,,,
010.000.0626.01,"FITOMENADIONA  SOLUCIÓN   O  EMULSIÓN   INYECTABLE,   CADA  AMPOLLETA CONTIENE   FITOMENADIONA 10 MG. PRESENTACIÓN: 5 AMPOLLETAS CON 1.0 ML",ENVASE CON 5 AMPOLLETAS DE 1 ML.,CIEL:86353,,,
010.000.1732.00,"FITOMENADIONA DE  2  MG,  SOLUCIÓN  O  EMULSIÓN  INYECTABLE,   ENVASE CON 3 AMPOLLETAS DE 0.2 ML.",3 AMPOLLETAS CON 0.2 ML,CIEL:86353,vitamin k 1,,
010.000.1732.01,"FITOMENADIONA DE  2  MG,  SOLUCIÓN  O  EMULSIÓN  INYECTABLE,   ENVASE CON 5 AMPOLLETAS DE 0.2 ML.",ENVASE CON 5 AMPOLLETAS DE 0.2 ML.,CIEL:86353,vitamin k 1,,
010.000.0811.00,FLUOCINOLONA ACETONIDO  DE CREMA 0.1 MG/G,ENVASE CON 20 GRAMOS,CIEL:76515,fluocinolone acetonide,91,
010.000.4483.00,"FLUOXETINA,   CLORHIDRATO DE  DE  20  MG,  CÁPSULA  O TABLETA,  ENVASE CON 14 CÁPSULAS  O TABLETAS.",14 CÁPSULAS  O TABLETAS,CIEL:76553,fluoxetine hydrochloride,81,
