,code,name_es,packaging,concept,search term,score
124,010.000.1732.00,"FITOMENADIONA DE  2  MG,  SOLUCIÓN  O  EMULSIÓN  INYECTABLE,   ENVASE CON 3 AMPOLLETAS DE 0.2 ML.",3 AMPOLLETAS CON 0.2 ML,CIEL:86353,vitamin k 1,
125,010.000.1732.01,"FITOMENADIONA DE  2  MG,  SOLUCIÓN  O  EMULSIÓN  INYECTABLE,   ENVASE CON 5 AMPOLLETAS DE 0.2 ML.",ENVASE CON 5 AMPOLLETAS DE 0.2 ML.,CIEL:86353,vitamin k 1,
127,010.000.4483.00,"FLUOXETINA,   CLORHIDRATO DE  DE  20  MG,  CÁPSULA  O TABLETA,  ENVASE CON 14 CÁPSULAS  O TABLETAS.",14 CÁPSULAS  O TABLETAS,CIEL:76553,fluoxetine hydrochloride,81
128,010.000.4483.01,"FLUOXETINA,   CLORHIDRATO DE  DE  20  MG,  CÁPSULA  O TABLETA,  ENVASE CON 28 CÁPSULAS  O TABLETAS.",28 CÁPSULAS  O TABLETAS,CIEL:76553,fluoxetine hydrochloride,81
129,010.000.1701.00,"FUMARATO  FERROSO   DE CADA  TABLETA  CONTIENE:  FUMARATO  FERROSO 200 MG EQUIVALENTE A 65.74 MG DE HIERRO ELEMENTAL,  TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,CIEL:76335,ferrous fumarate,88
130,010.000.1702.00,"FUMARATO  FERROSO  DE CADA ML CONTIENE:  FUMARATO  FERROSO  29 MG EQUIVALENTE  A  9.53   MG   DE   HIERRO   ELEMENTAL,    SUSPENSIÓN   ORAL, ENVASE CON 120 ML.",ENVASE CON 120 ML,CIEL:76335,ferrous fumarate,88
136,060.596.0111,GLICERINA  ENVASE CON 55 ML,ENVASE,CIEL:77073,glycerin,
146,010.000.1705.00,HIERRO  DEXTRÁN  SOLUCIÓN  INYECTABLE  - 100  MG/2  ML  - 3 AMPOLLETAS CON 2 ML,ENVASE,CIEL:78230,,
150,010.000.1051.00,"INSULINA  HUMANA  ACCIÓN  RÁPIDA  REGULAR  (ORIGEN  ADN RECOMBINANTE ) DE 100 UI / ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON UN FRASCO  ÁMPULA CON 5 ML.",UN FRASCO ÁMPULA CON 5 ML,CIEL:78082,"insulin, regular, human",75
152,010.000.1051.01,"INSULINA HUMANA ACCIÓN RÁPIDA REGULAR (ORIGEN ADN RECOMBINANTE) DE 100 UI / ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON UN FRASCO  ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,CIEL:78082,"insulin, regular, human",75
153,010.000.1050.01,"INSULINA HUMANA ISÓFANA ACCIÓN INTERMEDIA NPH (ORIGEN ADN RECOMBINANTE ) DE 100  UI / ML,  SUSPENSIÓN  INYECTABLE,  ENVASE  CON UN FRASCO ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,CIEL:78068,insulin nph (human),86
155,010.000.1050.00,"INSULINA ZINC ISÓFANA HUMANA ACCIÓN INTERMEDIA NPH (ORIGEN ADN RECOMBINANTE ) DE 100  UI / ML,  SUSPENSIÓN  INYECTABLE,  ENVASE  CON UN FRASCO ÁMPULA CON 5 ML.",UN FRASCO ÁMPULA CON 5 ML,CIEL:78068,"INSULIN, ISOPHANE, HUMAN",
156,060.066.0658,IODOPOVIDONA  ESPUMA.  CADA  100  ML  CONTIENEN:   IODOPOVIDONA  8  G. EQUIVALENTE A 0.8 G DE YODO.,ENVASE CON 3.5 L.,CIEL:82384,povidone iodine,
157,060.066.0666,"IODOPOVIDONA SOLUCION  CADA  100 ML CONTIENEN  IODOPOVIDONA 11 G., EQUIVALENTE A 1.1 G DE YODO. ENVASE CON 3.5 ML.",ENVASE CON 3.5 L,CIEL:82384,povidone iodine,
166,S/C,JABON CON CLORHEXIDINA AL 4 % ANTISEPTICO  DE AMPLIO ESPECTRO  CON ACCION  INTERMEDIA   Y  PROLONGADA  PARA  LAVADO  DE  MANOS INGREDIENTE ACTIVO AL 4 % P/V 946 ML PIEZA,PIEZA,CIEL:73265,chlorhexidine gluconate,
167,060.543.0115,JALEA LUBRICANTE.  ASÉPTICA.,ENVASE CON 135 G,CIEL:162138,lubricant jelly,
171,010.000.3504.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 21 GRAGEAS.",21 GRAGEAS,CIEL:162296,Levonorgestrel/Ethinylestradiol,
172,010.000.3507.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 28 GRAGEAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 GRAGEAS (21 CON HORMONALES Y 7 SINHORMONALES),CIEL:162296,Levonorgestrel/Ethinylestradiol,
179,010.000.0265.00,"LIDOCAÍNA,  CLORHIDRATO DE,  EPINEFRINA  DE  1  G  / (1:200000)  / 0.25  MG, SOLUCIÓN  INYECTABLE  AL  2%,  ENVASE  CON  5 FRASCOS  ÁMPULA  CON  50 ML.",5 FRASCOS ÁMPULA CON 50 ML,CIEL:104584,,
180,010.000.0267.00,"LIDOCAÍNA,  CLORHIDRATO DE, EPINEFRINA  DE 36 MG / (1:100000)  / 0.018 MG, SOLUCIÓN INYECTABLE  AL 2%, ENVASE CON 50 CARTUCHOS  DENTALES  CON 1.8 ML.",50 CARTUCHOS DENTALES  CON 1.8 ML,CIEL:104584,,
183,010.000.4184.00,LOPERAMIDA  TABLETA CADA COMPRIMIDO  TABLETAS  O GRAGEA CONTIENE: CLORHIDRATO DE LOPERAMIDA  2 MG.,ENVASE CON 12 TABLETAS.,CIEL:79038,,
184,010.000.4184.00,"LOPERAMIDA,   CLORHIDRATO   DE   DE   2   MG,   COMPRIMIDO,   TABLETA   O GRAGEA, ENVASE CON 12 COMPRIMIDOS, TABLETAS O GRAGEAS.","12 COMPRIMIDOS, TABLETAS O GRAGEAS",CIEL:79038,loperamide hydrochloride,81
197,010.000.5165.00,"METFORMINA,  CLORHIDRATO  DE  DE  850  MG,  TABLETA,   ENVASE   CON  30 TABLETAS.",30 TABLETAS,CIEL:79652,metformin hydrochloride,81
199,010.000.1243.00,"METOCLOPRAMIDA,  CLORHIDRATO  DE  DE  4  MG/ML,   SOLUCIÓN,   ENVASE FRASCO GOTERO CON 20 ML.",FRASCO GOTERO CON 20 ML,CIEL:79757,metoclopramide hydrochloride,84
200,010.000.1241.00,"METOCLOPRAMIDA, CLORHIDRATO DE  DE  10  MG,  SOLUCIÓN  INYECTABLE, ENVASE CON 6 AMPOLLETAS DE 2 ML.",6 AMPOLLETAS CON 2 ML,CIEL:79757,metoclopramide hydrochloride,84
201,010.000.1242.00,"METOCLOPRAMIDA, CLORHIDRATO DE DE 10 MG, TABLETA,  ENVASE  CON 20 TABLETAS.",20 TABLETAS,CIEL:79757,metoclopramide hydrochloride,84
202,010.000.0572.00,"METOPROLOL,  TARTRATO   DE   DE   100   MG,   TABLETA,   ENVASE   CON   20 TABLETAS.",20 TABLETAS,CIEL:79767,METOPROLOL TARTRATE,
208,SIN CLAVE,MISOPROSTROL CADA  TABLETA  CONTIENE:  MISOPROSTOL 200 µG  ENVASE CON 28 COMPRIMIDOS,ENVASE CON 28 COMPRIMIDOS.,CIEL:79984,misoprostol,90
235,010.000.0865.00,"PERMETRINA  DE 1 G/100 ML, SOLUCIÓN,  ENVASE CON 110 ML.",ENVASE CON 110 ML,CIEL:81834,permethrin,90
243,010.000.0472.00,"PREDNISONA  (GT12) DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS",20 TABLETAS,CIEL:82453,prednisone,90
244,010.000.0473.00,"PREDNISONA  DE 50 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:82453,prednisone,90
245,010.000.2032.00,"PRIMAQUINA,  FOSFATO DE DE 15 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:82521,primaquine,90
246,010.000.2031.00,"PRIMAQUINA,  FOSFATO DE DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:82521,primaquine,90
247,010.000.0539.00,"PROPRANOLOL,  CLORHIDRATO  DE  DE  10  MG,  TABLETA,  ENVASE  CON  30 TABLETAS.",30 TABLETAS,CIEL:82734,propranolol hydrochloride,90
248,010.000.0530.00,"PROPRANOLOL,  CLORHIDRATO  DE  DE  40  MG,  TABLETA,  ENVASE  CON  30 TABLETAS.",30 TABLETAS,CIEL:82734,propranolol hydrochloride,90
252,010.000.2410.00,"RIFAMPICINA  DE 100 MG / 5 ML, SUSPENSIÓN  ORAL,  ENVASE  CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:767,Rifampin,
253,010.000.2409.00,"RIFAMPICINA  DE 300 MG, CÁPSULA,  COMPRIMIDO  O TABLETA  RECUBIERTA, ENVASE CON 1000 CÁPSULAS,  COMPRIMIDOS O TABLETAS RECUBIERTAS.",1 000 CÁPSULAS  O COMPRIMIDOS O TABLETAS RECUBIERTAS,CIEL:767,Rifampin,
258,030.000.0011.00,"SUCEDÁNEO   DE   LECHE   HUMANA   DE   TÉRMINO   DE   KCAL   509-528/100G, LÍPIDOS 25.80-28.90/100G, PROTEÍNAS  9.50-12.0/100G, HIDRATO DE CARBONO 55.20-57.90/100G, POLVO,  ENVASE  DE LATA  CON 400 A 454 G Y MEDIDA  DE 4.30 A 4.50 G.",ENVASE CON 400 A 454 G,CIEL:5254,,
261,010.000.1703.00,"SULFATO FERROSO DESECADO  DE CADA TABLETA CONTIENE: SULFATO FERROSO  DESECADO  APROXIMADAMENTE 200 MG EQUIVALENTE A 60.27 MG DE HIERRO ELEMENTAL,  TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:76342,ferrous sulfate,87
269,010.000.1903.00,"TRIMETOPRIMA  -  SULFAMETOXAZOL  DE  80  MG/400   MG,   COMPRIMIDO   O TABLETA, ENVASE CON 20 COMPRIMIDOS O TABLETAS.",20 TABLETAS O COMPRIMIDOS,CIEL:105281,,
270,010.000.1904.00,"TRIMETOPRIMA -  SULFAMETOXAZOL DE  40  MG/200  MG/5  ML,  SUSPENSIÓN ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:105281,,
271,010.000.0591.00,"TRINITRATO  DE  GLICERILO  DE  0.8  MG,  CÁPSULA  O TABLETA  MASTICABLE, ENVASE CON 24 CÁPSULAS  O TABLETAS MASTICABLES.",24 CÁPSULAS  O TABLETAS,CIEL:80704,Nitroglycerin,
