010.000.5703.00,"SITAGLIPTINA MONOHIDRATADA, FOSFATO  DE,  METFORMINA, CLOHIDRATO DE DE 50 MG / 850 MG, COMPRIMIDO, ENVASE CON 28 COMPRIMIDOS.",ENVASE CON 28 COMPRIMIDOS.,,sitagliptina monohidratada
010.000.2715.00,VITAMINA E GRAGEA O CÁPSULA DE GELATINA 400 MG,ENVASE CON 99 Ó 100 GRAGEAS O CAPSULAS,,vitamina e gragea o cápsula
010.000.1927.00,"DICLOXACILINA SÓDICA  DE 250 MG / 5 ML, SUSPENSIÓN  ORAL, ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR.",ENVASE PARA 60 ML,,
010.000.1926.00,"DICLOXACILINA SÓDICA  DE 500 MG, CÁPSULA  O COMPRIMIDO, ENVASE  CON 20 CÁPSULAS  O COMPRIMIDOS.",20 CÁPSULAS  O COMPRIMIDOS,,
010.000.3510.00,"ETONOGESTREL  DE   68   MG,   IMPLANTE,   ENVASE   CON   UN   IMPLANTE   Y APLICADOR.",IMPLANTE Y APLICADOR.,,
010.000.4157.00,"INSULINA ZINC COMPUESTA  HUMANA (ORIGEN ADN RECOMBINANTE )ACCIÓN INTERMEDIA   DE  100  UI  /  ML,  SUSPENSIÓN   INYECTABLE,   ENVASE  CON  UN FRASCO ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,,
010.000.1050.00,"INSULINA ZINC ISÓFANA HUMANA ACCIÓN INTERMEDIA NPH (ORIGEN ADN RECOMBINANTE ) DE 100  UI / ML,  SUSPENSIÓN  INYECTABLE,  ENVASE  CON UN FRASCO ÁMPULA CON 5 ML.",UN FRASCO ÁMPULA CON 5 ML,,
010.000.3504.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 21 GRAGEAS.",21 GRAGEAS,,
010.000.3507.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 28 GRAGEAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 GRAGEAS (21 CON HORMONALES Y 7 SINHORMONALES),,
010.000.0572.00,"METOPROLOL,  TARTRATO   DE   DE   100   MG,   TABLETA,   ENVASE   CON   20 TABLETAS.",20 TABLETAS,,
010.000.1310.00,"METRONIDAZOL,  BENZOILO   DE  DE  250  MG  /  5  ML,  SUSPENSIÓN   ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,,
010.000.2471.00,CLORFENAMINA COMPUESTA  TABLETA CADA TABLETA CONTIENE PARACETAMOL 500 MG CAFEÍNA 25 MG CLORHIDRATO DE FENILEFRINA  5 MG MALEATO DE CLORFENAMINA 4 MG.,ENVASE CON 10 TABLETAS.,,
010.000.3504.00,"LEVONORGESTREL  Y  ETINILESTRADIOL  GRAGEA   LEVONORGESTREL  0.15 MG, 0.03 MG 21 GRAGEASETINILESTRADIOL",ENVASE,,
010.000.2150.00,PLANTAGO  OVATA/SENOSIDOS A Y B GRANULADO  54.2 G/300 MG/100 G,ENVASE CON 100 GRAMOS,,
010.000.2801.00,ZINC Y FENILEFRINA  SOLUCIÓN OFTÁLMICA  2.5 MG/1.2 MG/ ML,ENVASE CON GOTERO INTEGRAL CON 15 ML.,,
010.000.1223.00,"ALUMINIO,  HIDRÓXIDO  DE - MAGNESIO  TRISILICATO  DE DE 200 MG/447.3  MG, TABLETA MASTICABLE,  ENVASE CON 50 TABLETAS MASTICABLES.",50 TABLETAS,,
010.000.1224.00,"ALUMINIO,  HIDRÓXIDO  DE - MAGNESIO  TRISILICATO  DE DE 3.7 MG/8.9  G/100 ML, SUSPENSIÓN  ORAL, ENVASE CON 240 ML Y DOSIFICADOR.",ENVASE CON 240 ML,,
010.000.0426.00,"AMINOFILINA   DE  250  MG/10  ML,  SOLUCIÓN   INYECTABLE,   ENVASE   CON  5 AMPOLLETAS DE 10 ML.",5 AMPOLLETAS DE 10 ML,,
010.000.0822.00,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 30 ML.",ENVASE CON 30 ML,,
010.000.0822.01,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 50 ML.",ENVASE CON 50 ML,,
010.000.0822.02,"BENZOILO,  PERÓXIDO DE DE 5 G / 100 G, GEL DÉRMICO, ENVASE CON 60 G.",ENVASE CON 60 ML,,
010.000.1991.00,"CLORANFENICOL DE 500 MG, CÁPSULA, ENVASE CON 20 CÁPSULAS.",20 CÁPSULAS,,
010.000.3505.00,"DESOGESTREL Y ETINILESTRADIOL DE 0.15 MG/0.03  MG,  TABLETA,  ENVASE CON 21 TABLETAS.",21 TABLETAS,,
010.000.3508.00,"DESOGESTREL Y ETINILESTRADIOL DE 0.15 MG/0.03  MG,  TABLETA,  ENVASE CON 28 TABLETAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 TABLETAS (21 CON HORMONALES Y 7 SIN HORMONALES),,
010.000.1941.00,"DOXICICLINA,  HICLATO  DE DE 50 MG, CÁPSULA  O TABLETA,  ENVASE  CON 28 CÁPSULAS  O TABLETAS.",28 CÁPSULAS  O TABLETAS,,
010.000.1940.00,"DOXICICLINA,  HICLATO DE DE 100 MG, CÁPSULA O TABLETA, ENVASE CON 10 CÁPSULAS  O TABLETAS.",10 CÁPSULAS  O TABLETAS,,
010.000.1363.00,"LIDOCAÍNA,  ACETATO  DE  HIDROCORTISONA, SUBACETATO DE  ALUMINIO  Y OXIDO DE ZINC DE 5 G/0.25 G/3.50 G/18 G/100 G, UNGÜENTO,  ENVASE CON 20 G Y APLICADOR.",ENVASE CON 20 G Y APLICADOR,,
010.000.1364.00,"LIDOCAÍNA,  ACETATO  DE  HIDROCORTISONA, SUBACETATO DE  ALUMINIO  Y OXIDO DE ZINC DE 60 MG/5 MG/400 MG/50 MG, SUPOSITORIO, ENVASE CON 6 SUPOSITORIOS.",6 SUPOSITORIOS,,
010.000.0265.00,"LIDOCAÍNA,  CLORHIDRATO DE,  EPINEFRINA  DE  1  G  / (1:200000)  / 0.25  MG, SOLUCIÓN  INYECTABLE  AL  2%,  ENVASE  CON  5 FRASCOS  ÁMPULA  CON  50 ML.",5 FRASCOS ÁMPULA CON 50 ML,,
010.000.0267.00,"LIDOCAÍNA,  CLORHIDRATO DE, EPINEFRINA  DE 36 MG / (1:100000)  / 0.018 MG, SOLUCIÓN INYECTABLE  AL 2%, ENVASE CON 50 CARTUCHOS  DENTALES  CON 1.8 ML.",50 CARTUCHOS DENTALES  CON 1.8 ML,,
010.000.0263.00,"LIDOCAÍNA,  CLORHIDRATO DE, GLUCOSA  MONOHIDRATADA DE 100 MG / 2 ML / 150 MG, SOLUCIÓN  INYECTABLE  AL 5%, ENVASE CON 50 AMPOLLETAS CON 2 ML.",50 AMPOLLETAS CON 2 ML,,
010.000.3515.00,"NORETISTERONA, ENANTATO  DE Y VALERATO  DE ESTRADIOL  DE 50 MG/  5 MG/ML,  SOLUCIÓN  INYECTABLE,  ENVASE  CON  UNA AMPOLLETA  O JERINGA CON UN ML.",AMPOLLETA  O JERINGA,,
010.000.1903.00,"TRIMETOPRIMA  -  SULFAMETOXAZOL  DE  80  MG/400   MG,   COMPRIMIDO   O TABLETA, ENVASE CON 20 COMPRIMIDOS O TABLETAS.",20 TABLETAS O COMPRIMIDOS,,
010.000.1904.00,"TRIMETOPRIMA -  SULFAMETOXAZOL DE  40  MG/200  MG/5  ML,  SUSPENSIÓN ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,,
010.000.4025.00,"EZETIMIBA-SIMVASTATINA DE 10 MG/ 20 MG, COMPRIMIDO, ENVASE  CON 14 COMPRIMIDOS.",ENVASE CON 14 COMPRIMIDOS.,,
010.000.4097.00,"IRBESARTÁN  - HIDROCLOROTIAZIDA DE 150 MG/12.5  MG, TABLETA,  ENVASE CON 28 TABLETAS.",ENVASE CON 28 TABLETAS.,,
010.000.5801.00,"IRBESARTÁN,    AMLODIPINO,   BESILATO   DE   DE  150   MG  /  5MG,   TABLETA, ENVASE CON 28 TABLETAS.",ENVASE CON 28 TABLETAS.,,
010.000.5802.00,"IRBESARTÁN,   AMLODIPINO,   BESILATO   DE  DE  300  MG  /  5  MG,  TABLETA, ENVASE CON 28 TABLETAS",ENVASE CON 28 TABLETAS,,
SIN CLAVE,LIDOCAINA-HIDROCORTISONA UNGÜENTO  50 MG/2.5 MG/1G,ENVASE,,
010.000.2542.00,"TELMISARTÁN - HIDROCLOROTIAZIDA DE 80.0 MG/12.5 MG, TABLETA, ENVASE CON 14 TABLETAS.",ENVASE CON 14 TABLETAS.,,
